id	Label	Intra
1	Bundle1	6
2	Bundle2	6
3	Bundle3	1.56095
4	Bundle4	2.51541
5	Bundle5	3.00013
6	Bundle6	0
7	Bundle7	1
8	Bundle8	3.00171
9	Bundle9	0
10	Bundle10	0.894427
