Bundle	ArticleId	Paper	Venue	Author
Bundle 1	2731	Equivalence analysis and its application in improving the efficiency of program slicing.	ACM Trans. Softw. Eng. Methodol.	Mary Jean Harrold, Donglin Liang	
Bundle 1	3116	Synthesizing client load models for performance engineering via web crawling.	ASE	John C. Grundy, John G. Hosking, Yuhong Cai	
Bundle 1	3821	COO: Design Process, Architectural Style, Lessons Learned.	ICSE	Hala Skaf, François Charoy, Pascal Molli, Gérôme Canals, Claude Godart	
Bundle 1	5347	Basset: a tool for systematic testing of actor programs.	SIGSOFT FSE	Gul Agha, Darko Marinov, Steven Lauterburg, Rajesh K. Karmani	
Bundle 1	8850	Mechanical Verification and Automatic Implementation of Communication Protocols.	IEEE Trans. Software Eng.	Deepinder P. Sidhu, Thomas P. Blumer	
Bundle 2	2791	A Hierarchy-aware Approach to Faceted Classification of Objected-Oriented Components.	ACM Trans. Softw. Eng. Methodol.	Maria Grazia Fugini, Carlo Bellettini, Ernesto Damiani	
Bundle 2	3676	The Use of Description Logics in KBSE Systems: Experience Report.	ICSE	Premkumar T. Devanbu, Mark A. Jones	
Bundle 2	5254	Using assertions to help end-user programmers create dependable web macros.	SIGSOFT FSE	Gregg Rothermel, Sebastian G. Elbaum, Lorin Hochstein, Christopher Scaffidi, Kathryn T. Stolee, Andhy Koesnandar	
Bundle 2	5548	Site Initialization, Recovery, and Backup in a Distributed Database System.	IEEE Trans. Software Eng.	Nathan Goodman, Philip A. Bernstein, Rony Attar	
Bundle 2	6769	Declarative Specification of Software Architectures.	ASE	John Penix, Klaus Havelund, Perry Alexander	
Bundle 3	1542	A Scheme to Enforce Data Dependence on Large Multiprocessor Systems.	IEEE Trans. Software Eng.	Pen-Chung Yew, Chuan-Qi Zhu	
Bundle 3	2739	Developing multiagent systems: The Gaia methodology.	ACM Trans. Softw. Eng. Methodol.	Franco Zambonelli, Michael Wooldridge, Nicholas R. Jennings	
Bundle 3	3129	Blowtorch: a framework for firewall test automation.	ASE	Daniel Hoffman, Kevin Yoo	
Bundle 3	4277	Software architecture in an open source world.	ICSE	Roy T. Fielding	
Bundle 3	5407	System architecture: the context for scenario-based model synthesis.	SIGSOFT FSE	Jeff Kramer, Sebastián Uchitel, Jeff Magee, Robert Chatley	
Bundle 4	597	GUI Interaction Testing: Incorporating Event Context.	IEEE Trans. Software Eng.	Myra B. Cohen, Atif M. Memon, Xun Yuan	
Bundle 4	2678	Empirical evaluation of a nesting testability transformation for evolutionary testing.	ACM Trans. Softw. Eng. Methodol.	David Binkley, Mark Harman, Phil McMinn	
Bundle 4	3038	Unit testing concurrent software.	ASE	William Pugh, Nathaniel Ayewah	
Bundle 4	3551	Experimental program analysis: a new paradigm for program analysis.	ICSE	Joseph R. Ruthruff	
Bundle 4	5276	Automated identification of parameter mismatches in web applications.	SIGSOFT FSE	Alessandro Orso, William G. J. Halfond	
Bundle 5	1356	Experiences Using Lightweight Formal Methods for Requirements Modeling.	IEEE Trans. Software Eng.	David Hamilton, Steve M. Easterbrook, Robyn R. Lutz, John Kelly, Richard Covington, Yoko Ampo	
Bundle 5	2635	Metamodel-based model conformance and multiview consistency checking.	ACM Trans. Softw. Eng. Methodol.	Jonathan S. Ostroff, Richard F. Paige, Phillip J. Brooke	
Bundle 5	2999	Automating Software Traceability in Very Small Companies: A Case Study and Lessons Learne.	ASE	Paul Grünbacher, Christian Neumuller	
Bundle 5	4220	Metrics for model driven requirements development.	ICSE	Brian Berenbach, Gail Borotto	
Bundle 5	5294	Composable semantics for model-based notations.	SIGSOFT FSE	Jianwei Niu, Joanne M. Atlee, Nancy A. Day	
Bundle 6	2063	Measuring Software Dependability by Robustness Benchmarking.	IEEE Trans. Software Eng.	Daniel P. Siewiorek, Arup Mukherjee	
Bundle 6	2781	Amoeba: A methodology for modeling and evolving cross-organizational business processes.	ACM Trans. Softw. Eng. Methodol.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh	
Bundle 6	2931	Japanese Workshop on Leveraging Web2.0 Technologies in Software Development Environments (WebSDE).	ASE	Makoto Matsushita, Katsuhisa Maruyama, Shinichiro Yamamoto	
Bundle 6	4687	Information Survivability Control Systems.	ICSE	John C. Knight, Kevin J. Sullivan, Xing Du, Steve Geist	
Bundle 6	5212	Local analysis of atomicity sphere for B2B collaboration.	SIGSOFT FSE	Chang Xu, Chunyang Ye, W. K. Chan, S. C. Cheung	
Bundle 7	290	Statistical Debugging: A Hypothesis Testing-Based Approach.	IEEE Trans. Software Eng.	Samuel P. Midkiff, Jiawei Han, Long Fei, Xifeng Yan, Chao Liu 0001	
Bundle 7	2817	Three empirical studies on estimating the design effort of Web applications.	ACM Trans. Softw. Eng. Methodol.	Sandro Morasca, Luciano Baresi	
Bundle 7	3156	A Divergence-Oriented Approach to Adaptive Random Testing of Java Programs.	ASE	Yuting Chen, Xucheng Tang, Jianjun Zhao, Yu Lin	
Bundle 7	3755	Incremental consistency checking for pervasive context.	ICSE	Shing-Chi Cheung, Chang Xu, W. K. Chan	
Bundle 7	5201	Testing context-aware middleware-centric programs: a data flow approach and an RFID-based experimentation.	SIGSOFT FSE	T. H. Tse, W. K. Chan, Heng Lu 0001	
Bundle 8	455	A Data Mining Approach for Detecting Higher-Level Clones in Software.	IEEE Trans. Software Eng.	Stan Jarzabek, Hamid Abdul Basit	
Bundle 8	2611	Double Iterative Framework for Flow-Sensitive Interprocedural Data Flow Analysis.	ACM Trans. Softw. Eng. Methodol.	István Forgács	
Bundle 8	3337	Visualizing clone detection results.	ASE	Jeff Gray, Robert Tairas, Ira D. Baxter	
Bundle 8	4827	ConcernLines: A timeline view of co-occurring concerns.	ICSE	Margaret-Anne D. Storey, Christoph Treude	
Bundle 9	2126	Explicit Communication Revisited: Two New Attacks on Authentication Protocols.	IEEE Trans. Software Eng.	Martín Abadi	
Bundle 9	3797	Component design of retargetable program analysis tools that reuse intermediate representations.	ICSE	William G. Griswold, James Hayes, Stuart Moskovics	
Bundle 9	5498	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 9	6686	Application of Formal Methods to the Development of a Software Maintenance Tool.	ASE	Philippe Facon, Sandrine Blazy	
Bundle 10	1078	An Algebra for Data Flow Diagram Process Decomposition.	IEEE Trans. Software Eng.	Mike Adler	
Bundle 10	2683	The Cost of Selective Recompilation and Environment Processing.	ACM Trans. Softw. Eng. Methodol.	Walter F. Tichy, Annette Weinert, Rolf Adams	
Bundle 10	5395	Reengineering a Complex Application Using a Scalable Data Structure Compiler.	SIGSOFT FSE	Don S. Batory, Marty Sirkin, Jeff Thomas	
Bundle 10	6823	Exploration Harnesses: Tool-Supported Interactive Discovery of Commercial Component Properties.	ASE	Kevin J. Sullivan, Michael A. Copenhafer	
Bundle 10	9156	A Knowledge-Based Environment for the Development of Software Parts Composition Systems.	ICSE	S. Daniel Lee, Bradley P. Allen	
Objetive function	53.4968
