Source	Target	Type	id	Weight
1	2	Undirected	1	0.465348
1	3	Undirected	2	1
1	4	Undirected	3	0.0119407
1	5	Undirected	4	0.197146
1	6	Undirected	5	0.235702
1	7	Undirected	6	0.221962
1	8	Undirected	7	0.00651894
1	9	Undirected	8	0.316228
1	10	Undirected	9	0.187008
2	3	Undirected	10	0.410699
2	4	Undirected	11	0
2	5	Undirected	12	0.308604
2	6	Undirected	13	0.153846
2	7	Undirected	14	0.0630525
2	8	Undirected	15	0
2	9	Undirected	16	0
2	10	Undirected	17	0.224775
3	4	Undirected	18	0
3	5	Undirected	19	0.234563
3	6	Undirected	20	0.344651
3	7	Undirected	21	0.265938
3	8	Undirected	22	0
3	9	Undirected	23	0
3	10	Undirected	24	0.286395
4	5	Undirected	25	0.00066624
4	6	Undirected	26	0
4	7	Undirected	27	0.236971
4	8	Undirected	28	0
4	9	Undirected	29	0
4	10	Undirected	30	0.0781836
5	6	Undirected	31	0.0385138
5	7	Undirected	32	0.0294561
5	8	Undirected	33	0.0198003
5	9	Undirected	34	0.000423006
5	10	Undirected	35	0.14274
6	7	Undirected	36	0.15094
6	8	Undirected	37	0
6	9	Undirected	38	0
6	10	Undirected	39	0.130231
7	8	Undirected	40	0
7	9	Undirected	41	0
7	10	Undirected	42	0.173337
8	9	Undirected	43	0
8	10	Undirected	44	0.0889825
9	10	Undirected	45	0.0296563
