id	Label	Intra
1	Bundle1	9.67719
2	Bundle2	8.31859
3	Bundle3	9.37893
4	Bundle4	10
5	Bundle5	9.56
6	Bundle6	9.70788
7	Bundle7	9.64091
8	Bundle8	6
9	Bundle9	6
10	Bundle10	9.03153
