Bundle	ArticleId	Paper	Venue	Author
Bundle 1	2731	Equivalence analysis and its application in improving the efficiency of program slicing.	ACM Trans. Softw. Eng. Methodol.	Mary Jean Harrold, Donglin Liang	
Bundle 1	3116	Synthesizing client load models for performance engineering via web crawling.	ASE	John C. Grundy, John G. Hosking, Yuhong Cai	
Bundle 1	3821	COO: Design Process, Architectural Style, Lessons Learned.	ICSE	Hala Skaf, François Charoy, Pascal Molli, Gérôme Canals, Claude Godart	
Bundle 1	5347	Basset: a tool for systematic testing of actor programs.	SIGSOFT FSE	Gul Agha, Darko Marinov, Steven Lauterburg, Rajesh K. Karmani	
Bundle 1	8850	Mechanical Verification and Automatic Implementation of Communication Protocols.	IEEE Trans. Software Eng.	Deepinder P. Sidhu, Thomas P. Blumer	
Bundle 2	1542	A Scheme to Enforce Data Dependence on Large Multiprocessor Systems.	IEEE Trans. Software Eng.	Pen-Chung Yew, Chuan-Qi Zhu	
Bundle 2	2739	Developing multiagent systems: The Gaia methodology.	ACM Trans. Softw. Eng. Methodol.	Franco Zambonelli, Michael Wooldridge, Nicholas R. Jennings	
Bundle 2	3129	Blowtorch: a framework for firewall test automation.	ASE	Daniel Hoffman, Kevin Yoo	
Bundle 2	4277	Software architecture in an open source world.	ICSE	Roy T. Fielding	
Bundle 2	5407	System architecture: the context for scenario-based model synthesis.	SIGSOFT FSE	Jeff Kramer, Sebastián Uchitel, Jeff Magee, Robert Chatley	
Bundle 3	2791	A Hierarchy-aware Approach to Faceted Classification of Objected-Oriented Components.	ACM Trans. Softw. Eng. Methodol.	Maria Grazia Fugini, Carlo Bellettini, Ernesto Damiani	
Bundle 3	3676	The Use of Description Logics in KBSE Systems: Experience Report.	ICSE	Premkumar T. Devanbu, Mark A. Jones	
Bundle 3	5254	Using assertions to help end-user programmers create dependable web macros.	SIGSOFT FSE	Gregg Rothermel, Sebastian G. Elbaum, Lorin Hochstein, Christopher Scaffidi, Kathryn T. Stolee, Andhy Koesnandar	
Bundle 3	5548	Site Initialization, Recovery, and Backup in a Distributed Database System.	IEEE Trans. Software Eng.	Nathan Goodman, Philip A. Bernstein, Rony Attar	
Bundle 3	6769	Declarative Specification of Software Architectures.	ASE	John Penix, Klaus Havelund, Perry Alexander	
Bundle 4	1756	MIKE: A Network Operating System for the Distributed Double-Loop Computer Network.	IEEE Trans. Software Eng.	Duen-Ping Tsay, Ming T. Liu	
Bundle 4	2714	J-Orchestra: Enhancing Java programs with distribution capabilities.	ACM Trans. Softw. Eng. Methodol.	Yannis Smaragdakis, Eli Tilevich	
Bundle 4	3461	A Concurrency Test Tool for Java Monitors.	ASE	Daniel Hoffman, Paul A. Strooper, Brad Long	
Bundle 4	4418	Overview and Evaluation of Constraint Validation Approaches in Java.	ICSE	Karl M. Göschka, Gerhard Glos, Lorenz Froihofer, Johannes Osrael	
Bundle 4	5405	Automating comprehensive safety analysis of concurrent programs using verisoft and TXL.	SIGSOFT FSE	Jürgen Dingel, Hongzhi Liang	
Bundle 5	2639	Generating Testing and Analysis Tools with Aria.	ACM Trans. Softw. Eng. Methodol.	David S. Rosenblum, Premkumar T. Devanbu, Alexander L. Wolf	
Bundle 5	5257	Mechanisms for Generic Process Support.	SIGSOFT FSE	Robert Balzer, K. Narayanaswamy	
Bundle 5	6582	Facilitating an Automated Approach to Architecture-based Software Reuse.	ASE	Betty H. C. Cheng, Yonghao Chen	
Bundle 5	8919	Random Insertion into a Priority Queue Structure.	IEEE Trans. Software Eng.	Thomas Porter, István Simon	
Bundle 5	9149	Error Recovery in Systems of Communicating Processes.	ICSE	Augusto Ciuffoletti	
Bundle 6	597	GUI Interaction Testing: Incorporating Event Context.	IEEE Trans. Software Eng.	Myra B. Cohen, Atif M. Memon, Xun Yuan	
Bundle 6	2678	Empirical evaluation of a nesting testability transformation for evolutionary testing.	ACM Trans. Softw. Eng. Methodol.	David Binkley, Mark Harman, Phil McMinn	
Bundle 6	3038	Unit testing concurrent software.	ASE	William Pugh, Nathaniel Ayewah	
Bundle 6	3551	Experimental program analysis: a new paradigm for program analysis.	ICSE	Joseph R. Ruthruff	
Bundle 6	5276	Automated identification of parameter mismatches in web applications.	SIGSOFT FSE	Alessandro Orso, William G. J. Halfond	
Bundle 7	2501	Automating Visual Language Generation.	IEEE Trans. Software Eng.	Giuliano Pacini, Genoveffa Tortora, Maurizio Tucci, Angela Guercio, Claudia Crimi	
Bundle 7	2745	A knowledge-based method for inferring semantic concepts from visual models of system behavior.	ACM Trans. Softw. Eng. Methodol.	Hassan Gomaa, Kevin L. Mills	
Bundle 7	3115	SPQR: Flexible Automated Design Pattern Extraction From Source Code.	ASE	P. David Stotts, Jason McC. Smith	
Bundle 7	4425	It's engineering Jim ... but not as we know it: software engineering - solution to the software crisis, or part of the problem?	ICSE	Antony Bryant	
Bundle 7	5486	Finding a History for Software Engineering.	SIGSOFT FSE	Michael S. Mahony	
Bundle 8	1356	Experiences Using Lightweight Formal Methods for Requirements Modeling.	IEEE Trans. Software Eng.	David Hamilton, Steve M. Easterbrook, Robyn R. Lutz, John Kelly, Richard Covington, Yoko Ampo	
Bundle 8	2635	Metamodel-based model conformance and multiview consistency checking.	ACM Trans. Softw. Eng. Methodol.	Jonathan S. Ostroff, Richard F. Paige, Phillip J. Brooke	
Bundle 8	2999	Automating Software Traceability in Very Small Companies: A Case Study and Lessons Learne.	ASE	Paul Grünbacher, Christian Neumuller	
Bundle 8	4220	Metrics for model driven requirements development.	ICSE	Brian Berenbach, Gail Borotto	
Bundle 8	5294	Composable semantics for model-based notations.	SIGSOFT FSE	Jianwei Niu, Joanne M. Atlee, Nancy A. Day	
Bundle 9	2063	Measuring Software Dependability by Robustness Benchmarking.	IEEE Trans. Software Eng.	Daniel P. Siewiorek, Arup Mukherjee	
Bundle 9	2781	Amoeba: A methodology for modeling and evolving cross-organizational business processes.	ACM Trans. Softw. Eng. Methodol.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh	
Bundle 9	2931	Japanese Workshop on Leveraging Web2.0 Technologies in Software Development Environments (WebSDE).	ASE	Makoto Matsushita, Katsuhisa Maruyama, Shinichiro Yamamoto	
Bundle 9	4687	Information Survivability Control Systems.	ICSE	John C. Knight, Kevin J. Sullivan, Xing Du, Steve Geist	
Bundle 9	5212	Local analysis of atomicity sphere for B2B collaboration.	SIGSOFT FSE	Chang Xu, Chunyang Ye, W. K. Chan, S. C. Cheung	
Bundle 10	290	Statistical Debugging: A Hypothesis Testing-Based Approach.	IEEE Trans. Software Eng.	Samuel P. Midkiff, Jiawei Han, Long Fei, Xifeng Yan, Chao Liu 0001	
Bundle 10	2817	Three empirical studies on estimating the design effort of Web applications.	ACM Trans. Softw. Eng. Methodol.	Sandro Morasca, Luciano Baresi	
Bundle 10	3156	A Divergence-Oriented Approach to Adaptive Random Testing of Java Programs.	ASE	Yuting Chen, Xucheng Tang, Jianjun Zhao, Yu Lin	
Bundle 10	3755	Incremental consistency checking for pervasive context.	ICSE	Shing-Chi Cheung, Chang Xu, W. K. Chan	
Bundle 10	5201	Testing context-aware middleware-centric programs: a data flow approach and an RFID-based experimentation.	SIGSOFT FSE	T. H. Tse, W. K. Chan, Heng Lu 0001	
Objetive function	61.7279
