id	Label	Intra
1	Bundle1	9.67719
2	Bundle2	10
3	Bundle3	9.56
4	Bundle4	6
5	Bundle5	9.70788
6	Bundle6	6
7	Bundle7	3
8	Bundle8	3
9	Bundle9	3
10	Bundle10	3
