id	Label	Intra
1	Bundle1	6
2	Bundle2	1.24254
3	Bundle3	1.00465
4	Bundle4	0.792088
5	Bundle5	1.09181
6	Bundle6	1.00889
7	Bundle7	2
8	Bundle8	1.00119
9	Bundle9	3
10	Bundle10	0.707107
