id	Label	Intra
1	Bundle1	10
2	Bundle2	9.8114
3	Bundle3	6
4	Bundle4	6
5	Bundle5	6
6	Bundle6	5.96985
7	Bundle7	5.78649
8	Bundle8	5.68996
9	Bundle9	5.57884
10	Bundle10	5.33799
