Bundle	Author	Affiliation
Bundle 1	Laura K. Dillon	Michigan State University	
Bundle 1	Angelo Susi	Fondazione Bruno Kessler	
Bundle 1	Huoping Chen	University of Arizona	
Bundle 1	Erik Sandewall	Linköping University	
Bundle 1	Henrik Sörensen	University of Pennsylvania	
Bundle 2	Sanjay Bhansali	University of South Florida	
Bundle 2	Thomas Grechenig	Vienna University of Technology	
Bundle 2	Jennifer Hetzl		
Bundle 2	Miroslaw Staron	University of Gothenburg	
Bundle 2	Andrew Simpson	University of Oxford	
Bundle 3	Nancy E. Rallis	Boston College	
Bundle 3	Cynthia A. Walczak	National Institutes of  Health	
Bundle 3	Susan C. Murphy		
Bundle 3	Sebastian Höhn	University of Fribourg	
Bundle 3	Janet R. Dunham	research triangle institute of north carolina	
Bundle 4	Joel S. Emer	Intel Corporation	
Bundle 4	Dean F. Jerding	Georgia Institute of Technology	
Bundle 4	Alfred L. Brown	University of Adelaide	
Bundle 4	Qian Ma	Nanjing University of Science & Technology	
Bundle 4	Yong Yan	University of Kent	
Bundle 5	Marco Gribaudo	Università degli Studi di Torino	
Bundle 5	Scott A. DeLoach	Kansas State University	
Bundle 5	S. Johann Bezuidenhoudt		
Bundle 5	Dirk Bäumer	IBM	
Bundle 5	Hiroshi Maruyama	Kyoto University	
Bundle 6	Reinhard German	University of Erlangen Nuremberg	
Bundle 6	Zakaria Maamar	Zayed University	
Bundle 6	Hoi S. Wong	University of Adelaide	
Bundle 6	Sam Pohlenz		
Bundle 6	PerOlof Bengtsson	Blekinge Institute of Technology	
Bundle 7	Jon Schlossberg	Skidmore College	
Bundle 7	William S. Mark	University of Southern California	
Bundle 7	James McGuire	Wesleyan University	
Bundle 7	Feng Chen	Illinois Institute of Technology	
Bundle 7	P. J. Rundle		
Bundle 8	Georg Handzel		
Bundle 8	John Mylopoulos	University of Toronto	
Bundle 8	Georgi Simeonov	Drexel University	
Bundle 8	Yvonne Hsieh	University of British Columbia	
Bundle 8	Mario Bernhart	Vienna University of Technology	
Bundle 9	Mark Moriconi	SRI International	
Bundle 9	Allan L. Mennie	University of Alberta	
Bundle 9	Gérald Lévy	Cadence Berkeley Labs	
Bundle 9	Wang Hong	University of Manchester	
Bundle 9	Witold Litwin	Paris Dauphine University	
Bundle 10	Adam M. Smith	University of California Santa Cruz	
Bundle 10	Malte Hülder	University of Leipzig	
Bundle 10	Matthias Book	Universität Duisburg-Essen	
Bundle 10	Emanuel Giger	Universität Zürich	
Bundle 10	R. E. Kurt Stirewalt	Michigan State University	
Objetive function 	37.2855
