Bundle	Author	Affiliation
Bundle 1	Tomas Berling	Lund University	
Bundle 1	Jinjun Chen	Swinburne University of Technology	
Bundle 1	Vladan Devedzic	University of Belgrade	
Bundle 1	Tom Janssen		
Bundle 1	Philip J. Guo	Stanford University	
Bundle 2	Shan Shan Huang	Georgia Institute of Technology	
Bundle 2	Tristan Denmat	Institut de Recherche en Informatique et Systèmes Aléatoires	
Bundle 2	John A. Keane	University of Manchester	
Bundle 2	Genaína Nunes Rodrigues	University College London	
Bundle 2	Greg Butler	Concordia University	
Bundle 3	Oliver Stiemerling	University of Bonn	
Bundle 3	Allen E. Milewski	Monmouth University	
Bundle 3	Heather L. Oppenheimer	University of Victoria	
Bundle 3	José Alberto R. P. Sardinha	Carnegie Mellon University	
Bundle 3	Paolo A. G. Sivilotti	Ohio State University	
Bundle 4	Dina Friedland	University of Wisconsin Madison	
Bundle 4	Leonardo Grassi	Università degli Studi di Firenze	
Bundle 4	Gerald Meier	Stanford University	
Bundle 4	Scott D. Fleming	Oregon State University	
Bundle 4	Steven Woods	Carnegie Mellon University	
Bundle 5	Cara L. Holman		
Bundle 5	Tadashi Inoue	Central Research Institute of Electrical Power Industry	
Bundle 5	Armando Fox	University of California Berkeley	
Bundle 5	Ronald Baecker	University of Toronto	
Bundle 5	Jim Davies	University of Oxford	
Bundle 6	Christopher Ackermann	University of Maryland	
Bundle 6	Ulrich W. Eisenecker	University of Leipzig	
Bundle 6	Witold Litwin	Paris Dauphine University	
Bundle 6	Mark G. Matthews	The MITRE Corporation	
Bundle 6	F. S. Taylor		
Bundle 7	Steven D. Litvintchouk	The MITRE Corporation	
Bundle 7	Goetz Botterweck	University of Limerick	
Bundle 7	Giorgio Levi	University of Pisa	
Bundle 7	Takeshi Ogihara		
Bundle 7	Sandrine Blazy	École Nationale Supérieure d'Informatique pour l'Entreprise et l'Industrie	
Bundle 8	Gustavus J. Simmons	Sandia National Laboratories	
Bundle 8	Chris Jensen	University of California Irvine	
Bundle 8	George G. Robertson	Microsoft	
Bundle 8	Ulrik Pagh Schultz	University of Southern Denmark	
Bundle 8	Susan A. Mengel	European Southern Observatory	
Bundle 9	Zhimin Wang	Institute of High Energy Physics	
Bundle 9	Amit M. Paradkar	IBM	
Bundle 9	Kailasam Viswanathan Iyer	National Institute of Technology	
Bundle 9	Peter Henderson	University of Southampton	
Bundle 9	Pierre Lavency		
Bundle 10	Michael Daskalantonakis	Mkd Technologies	
Bundle 10	D. Davide Lamanna	University College London	
Bundle 10	Louis Feng	Darmstadt University of Technology	
Bundle 10	Patrick McDaniel	Pennsylvania State University	
Bundle 10	Jon Silverman	Saint Michael's College	
Objetive function	37.0654
