Bundle	Author	Affiliation
Bundle 1	James A. Hager	Pennsylvania State University	
Bundle 1	Bruce I. Blum	Johns Hopkins University	
Bundle 1	Walid Maalej	Technical University Munich	
Bundle 1	Martin Pinzger 0002	Universität Zürich	
Bundle 1	Georgios Gousios	Athens University of Economics and Business	
Bundle 2	C. T. Clingen	General Electrics	
Bundle 2	K. Fukunaga	IBM	
Bundle 2	Huaxin Zhang	Texas A&M University	
Bundle 2	Michael A. Copenhafer	University of Virginia	
Bundle 2	Rebeca P. Díaz Redondo		
Bundle 3	Rob Miller 0003	University College London	
Bundle 3	Masahiro Imagawa		
Bundle 3	Kouji Matsusita	Hitachi	
Bundle 3	Eric Bush	Kestrel Technology	
Bundle 3	Louis Feng	Darmstadt University of Technology	
Bundle 4	Yong Yang	Chinese Academy of Sciences	
Bundle 4	Lei Bian	Nanjing University of Science & Technology	
Bundle 4	Beatriz Mascia Daltrini	Universidade Estadual de Campinas	
Bundle 4	Luiz Eduardo Galvão Martins	Universidade de Coimbra	
Bundle 4	Patrick McDaniel	Pennsylvania State University	
Bundle 5	Frank A. Feldman		
Bundle 5	Ben Liblit	University of Wisconsin Madison	
Bundle 5	Judy H. Moore	Imperial College London	
Bundle 5	Gustavus J. Simmons	Sandia National Laboratories	
Bundle 5	Trishul M. Chilimbi	Microsoft	
Bundle 6	Jahangir Karimi	University of Arizona	
Bundle 6	James P. Huang	The Boeing Company	
Bundle 6	John Beane	University of Florida	
Bundle 6	Nancy Giddings		
Bundle 6	Jon Silverman	Saint Michael's College	
Bundle 7	Dirk Heuzeroth	Karlsruher Institute of Technology	
Bundle 7	Charles Zhang	Motorola Inc.	
Bundle 7	Janet Feigenspan	Otto-von-Guericke-Universität Magdeburg	
Bundle 7	Fabian Wielgorz		
Bundle 7	Ulrich W. Eisenecker	University of Leipzig	
Bundle 8	Norman R. Howes	George Mason University	
Bundle 8	Jin Sa	University of the West of England	
Bundle 8	Chris Feulner	University of Minnesota	
Bundle 8	Takeshi Ogihara		
Bundle 8	Koichiro Ochimizu	Japan Advanced Institute of Science & Technology	
Bundle 9	Kaizhi Yue	University of Southern California	
Bundle 9	Khaled Mahbub	City University London	
Bundle 9	Jennifer Tenzer	University of Edinburgh	
Bundle 9	Matthias Hallman		
Bundle 9	Douglas Cook	University of Exeter	
Bundle 10	Masaaki Mori	Shiga University	
Bundle 10	Giuseppe Valetto	Drexel University	
Bundle 10	Yasuyuki Tahara	University of Electro-Communications	
Bundle 10	Charles B. Weinstock	City University London	
Bundle 10	Eric G. Manning	University of Victoria	
Objetive function	80.2089
