Bundle	Author	Affiliation
Bundle 1	Wojciech Szermer	Oakland University	
Bundle 1	Jan Sinschek	Darmstadt University of Technology	
Bundle 1	Hela Oueslati		
Bundle 1	Philippe Facon	Conservatoire National des Arts et Métiers	
Bundle 1	Sandrine Blazy	École Nationale Supérieure d'Informatique pour l'Entreprise et l'Industrie	
Bundle 2	M. Hagemann	Karlsruher Institute of Technology	
Bundle 2	Kaizhi Yue	University of Southern California	
Bundle 2	Khaled Mahbub	City University London	
Bundle 2	Jennifer Tenzer	University of Edinburgh	
Bundle 2	Matthias Hallman		
Bundle 3	Kevin A. Gary	Arizona State University	
Bundle 3	John D. Tvedt	Catholic University of America	
Bundle 3	Steve McKeever		
Bundle 3	Jim Davies	University of Oxford	
Bundle 3	Susan A. Mengel	European Southern Observatory	
Bundle 4	Rob Miller 0003	University College London	
Bundle 4	Masahiro Imagawa		
Bundle 4	Kouji Matsusita	Hitachi	
Bundle 4	Eric Bush	Kestrel Technology	
Bundle 4	Louis Feng	Darmstadt University of Technology	
Bundle 5	Angelo Susi	Fondazione Bruno Kessler	
Bundle 5	Huoping Chen	University of Arizona	
Bundle 5	Claes Strömberg	Linköping University	
Bundle 5	Henrik Sörensen	University of Pennsylvania	
Bundle 5	Mark G. Matthews	The MITRE Corporation	
Bundle 6	Andrew Birrell	Microsoft	
Bundle 6	Erol Gelenbe	Imperial College London	
Bundle 6	Stephen J. Hartley	Rowan University	
Bundle 6	Richard B. Bunt	University of Saskatchewan	
Bundle 6	Judith B. Peachey	Arizona State University	
Bundle 7	Dirk Heuzeroth	Karlsruher Institute of Technology	
Bundle 7	Charles Zhang	Motorola Inc.	
Bundle 7	Janet Feigenspan	Otto-von-Guericke-Universität Magdeburg	
Bundle 7	Fabian Wielgorz		
Bundle 7	Ulrich W. Eisenecker	University of Leipzig	
Bundle 8	Shahrooz Feizabadi	Virginia Polytechnic Institute and State University	
Bundle 8	Vladimir Levin	Microsoft	
Bundle 8	Fei Xie	Old Dominion University	
Bundle 8	Charles P. Shelton	Western Pennsylvania Hospital	
Bundle 8	Christopher Ackermann	University of Maryland	
Bundle 9	Boleslaw K. Szymanski	Rensselaer Polytechnic Institute	
Bundle 9	Yuan Shi	Temple University	
Bundle 9	Gérald Lévy	Cadence Berkeley Labs	
Bundle 9	Wang Hong	University of Manchester	
Bundle 9	Witold Litwin	Paris Dauphine University	
Bundle 10	Robert D. Cameron	Simon Fraser University	
Bundle 10	Evelyn E. Obaid	San José State University	
Bundle 10	D. P. Schwartz		
Bundle 10	Doron Peled	University of Warwick	
Bundle 10	Jon Silverman	Saint Michael's College	
Objetive function	68.8742
