Bundle	Author	Affiliation
Bundle 1	Eugenia Díaz	Universidad de Oviedo	
Bundle 1	Minna Pikkarainen	Technical Research Centre of Finland	
Bundle 1	Fergal McCaffery		
Bundle 1	Stanislaw Jarzabek	National University of Singapore	
Bundle 1	Heather L. Oppenheimer	University of Victoria	
Bundle 2	Loon-Been Chen	National Chiao Tung University, Taiwan	
Bundle 2	Atsushi Wakino	OKI Electric Industry Company	
Bundle 2	Yutaka Matsushita	Nagoya University	
Bundle 2	Makoto Yoshida	Okayama University of Science	
Bundle 2	Zhiwei Xu	Chinese Academy of Sciences	
Bundle 3	Raymond M. Bryant	University of Wisconsin Madison	
Bundle 3	Jeffrey R. Spirn	Pennsylvania State University	
Bundle 3	Jean M. Pellaumail		
Bundle 3	Maurice H. Halstead	Purdue University	
Bundle 3	Raif O. Onvural	AT&T Bell Laboratories	
Bundle 4	Kullo Raiend	Institute of Cybernetics Tallinn University of Technology	
Bundle 4	Andres Kull	Elvior, Tallinn, Estonia	
Bundle 4	Jüri Vain	Tallin Technological University	
Bundle 4	Juhan P. Ernits	University of Birmingham	
Bundle 4	N. H. Petschenik		
Bundle 5	Bas Graaf	Delft University of Technology	
Bundle 5	Donald J. Reifer	Argonne Leadership Computing Facility	
Bundle 5	Wilhelm Hasselbring	Carl Von Ossietzky University of Oldenburg	
Bundle 5	Thorsten Teschke	University of Bremen	
Bundle 5	G. Migliarese		
Bundle 6	Lein Harn	University of Missouri Kansas City	
Bundle 6	Chi-Sung Laih	National Cheng Kung University, Taiwan	
Bundle 6	Sanja Vranes	University of Belgrade	
Bundle 6	Guo-Jie Li	Chinese Academy of Sciences	
Bundle 6	Mark Ryan	University of Birmingham	
Bundle 7	Dennis T. Cornhill		
Bundle 7	John I. A. Urquhart	National Aeronautics and Space Administration, United States	
Bundle 7	Ganesh Gopalakrishnan	University of Utah	
Bundle 7	Narsingh Deo	University of Delhi	
Bundle 7	Diane T. Rover	Iowa State University	
Bundle 8	Dionysis Athanasopoulos	University of Ioannina	
Bundle 8	Olivier Ridoux	Institut de Recherche en Informatique et Systèmes Aléatoires	
Bundle 8	Anne Hee Hiong Ngu	University of New South Wales	
Bundle 8	Zakaria Maamar	Zayed University	
Bundle 8	Matthias Hallman		
Bundle 9	Benjamin Arazi	Ben Gurion University of the Negev	
Bundle 9	Peter A. Lindsay	University of Queensland	
Bundle 9	Jan Magott	Wroclaw University of Technology	
Bundle 9	Sivaji Sundaramurthy	University of California Irvine	
Bundle 9	Chunqing Chen	National University of Singapore	
Bundle 10	Giriprasad Sridhara	University of Delaware	
Bundle 10	Noriko Hanakawa	Hannan University	
Bundle 10	David Kawrykow	McGill University	
Bundle 10	Rick Mugridge	University of Auckland	
Bundle 10	Shuuji Morisaki	Nara Institute of Science & Technology	
Objetive function	94.5
