Bundle	Author	Affiliation
Bundle 1	Hotae Kim	Samsung Electronics	
Bundle 1	Yunho Kim	Korea Advanced Institute of Science & Technology	
Bundle 1	Karsten Loer	University of York	
Bundle 1	Michael D. Harrison	Newcastle University	
Bundle 1	Sunil Gupta	S N Bose National Centre for Basic Science	
Bundle 2	L. Edward Reich		
Bundle 2	Ammar Masood	Air University Islamabad	
Bundle 2	Stefano Russo	Università degli Studi di Napoli Federico II	
Bundle 2	Quan Long	Hong Kong University of Science & Technology	
Bundle 2	Szu Hui Ng	National University of Singapore	
Bundle 3	Stanley Lee		
Bundle 3	Kasper Østerbye	IT University of Copenhagen	
Bundle 3	I. Robert Chiang	N Clark St	
Bundle 3	Chi Y. Lin	National Tsing Hua University Taiwan	
Bundle 3	Thomas Ellman	Vassar College	
Bundle 4	Ganesh J. Pai	National Aeronautics and Space Administration, United States	
Bundle 4	Rob A. Rutenbar	University of Illinois Urbana Champaign	
Bundle 4	Dorothy E. Setliff	University of Pittsburgh	
Bundle 4	H. M. Harmain	United Arab Emirates University	
Bundle 4	Robert J. Gaizauskas	University of Sheffield	
Bundle 5	Steven Sparks		
Bundle 5	Peter Hearty	Queen Mary University of London	
Bundle 5	George Manis	University of Ioannina	
Bundle 5	M. G. Sriram	National Aeronautics and Space Administration, United States	
Bundle 5	Bin Wu	Chinese Academy of Sciences	
Bundle 6	Hui Wu	University of New South Wales	
Bundle 6	Joxan Jaffar	National University of Singapore	
Bundle 6	James G. Mitchell	Palo Alto Research Center	
Bundle 6	Charles M. Geschke	Xerox Corporation	
Bundle 6	Richard Alan Karp		
Bundle 7	Raymond M. Bryant	University of Wisconsin Madison	
Bundle 7	Jeffrey R. Spirn	Pennsylvania State University	
Bundle 7	Jean M. Pellaumail		
Bundle 7	Maurice H. Halstead	Purdue University	
Bundle 7	Raif O. Onvural	AT&T Bell Laboratories	
Bundle 8	Carl August Zehnder	Swiss Federal Institute of Technology Zurich	
Bundle 8	Wiebren de Jonge	VU University of Amsterdam	
Bundle 8	Lorin Hochstein	University of Southern California	
Bundle 8	Detlef Kips	University of Erlangen Nuremberg	
Bundle 8	Ronald J. Brachman	Yahoo Research Labs	
Bundle 9	Kazuki Yasumatsu		
Bundle 9	Joost Zonneveld	Delft University of Technology	
Bundle 9	Ioana Rus	University of Maryland	
Bundle 9	René Klösch	Vienna University of Technology	
Bundle 9	Michael A. Copenhafer	University of Virginia	
Bundle 10	Jesús Sánchez Cuadrado	Universidad de Murcia	
Bundle 10	E. Raymond Cannon		
Bundle 10	Jarmo Kalaoja	Technical Research Centre of Finland	
Bundle 10	Geof F. Carpenter	University of Oklahoma	
Bundle 10	Fabrizio Marinelli	Università degli Studi dell'Aquila	
Objetive function	72.5
