Bundle	Author	Affiliation
Bundle 1	Min Xu	Dalian University of Technology	
Bundle 1	Jerry Rolia	Stanford University	
Bundle 1	Alexandre Brandwajn	University of California Santa Cruz	
Bundle 1	Jean-Alain Hernandez		
Bundle 1	Dick Hamlet	Portland State University	
Bundle 2	Elizabeth Burd	Durham University	
Bundle 2	Simon C. Shaw	University of Bath	
Bundle 2	John Field	Purdue University	
Bundle 2	Ganesan Ramalingam	Microsoft	
Bundle 2	Raghavan Komondoor	IBM	
Bundle 3	Juan Ares Casal	Universidade da Coruna	
Bundle 3	James W. Thatcher	Stanford University	
Bundle 3	Li Xining	University of Guelph	
Bundle 3	Zhongxiu Sun	Nanjing University	
Bundle 3	Diane T. Rover	Iowa State University	
Bundle 4	Arie Segev	University of California Berkeley	
Bundle 4	Doron Rotem	Lawrence Berkeley National Laboratory	
Bundle 4	Manfred Reichert	University of Ulm	
Bundle 4	Bela Mutschler	Hochschule Ravensburg Weingarten	
Bundle 4	Johannes Bumiller	University of Nantes	
Bundle 5	Edward J. McCluskey	Stanford University	
Bundle 5	Jonathan P. Bowen	London South Bank University	
Bundle 5	Kalpesh Kapoor	ERNET India	
Bundle 5	Joshua Geiger	University of Pittsburgh	
Bundle 5	William Pugh	University of Maryland	
Bundle 6	Michael Kuperberg	Karlsruher Institute of Technology	
Bundle 6	Xucheng Tang	Shanghai Jiao Tong University	
Bundle 6	Yu Lin	Three Gorges University	
Bundle 6	Bhekisipho Twala	Council for Scientific and Industrial Research	
Bundle 6	Alexander Knapp	University of Augsburg	
Bundle 7	L. Edward Reich		
Bundle 7	Stefano Russo	Università degli Studi di Napoli Federico II	
Bundle 7	Quan Long	Hong Kong University of Science & Technology	
Bundle 7	Yuan-Shun Dai	University of Tennessee Knoxville	
Bundle 7	Szu Hui Ng	National University of Singapore	
Bundle 8	Carl August Zehnder	Swiss Federal Institute of Technology Zurich	
Bundle 8	Wiebren de Jonge	VU University of Amsterdam	
Bundle 8	Lorin Hochstein	University of Southern California	
Bundle 8	Detlef Kips	University of Erlangen Nuremberg	
Bundle 8	Ronald J. Brachman	Yahoo Research Labs	
Bundle 9	E. Raymond Cannon		
Bundle 9	Christian Hirsch	University of Auckland	
Bundle 9	Pasqualina Potena	Università degli Studi G d'Annunzio Chieti e Pescara	
Bundle 9	Philip Weaver	Oregon Health & Science University	
Bundle 9	Nicolas Frisby	University of Kansas	
Bundle 10	Yoheved Dotan	Ben Gurion University of the Negev	
Bundle 10	T. C. Wesselkamper	Virginia Polytechnic Institute and State University	
Bundle 10	Thomas N. Hibbard	Universidad Nacional de Salta	
Bundle 10	David Parker	University of Birmingham	
Bundle 10	Chunqing Chen	National University of Singapore	
Objetive function	50.5
