Bundle	Author	Affiliation
Bundle 1	Diego Latella	Consiglio Nazionale delle Ricerche	
Bundle 1	Alina Andreevskaia	Concordia University	
Bundle 1	Lucy A. D. Lockwood		
Bundle 1	John J. Walker	Carnegie Mellon University	
Bundle 1	G. Beretta	HP Labs	
Bundle 2	Brian Ritchie		
Bundle 2	K. T. Narayana	Pennsylvania State University	
Bundle 2	Benjamin Arazi	Ben Gurion University of the Negev	
Bundle 2	Peter A. Lindsay	University of Queensland	
Bundle 2	David Walker	Princeton University	
Bundle 3	Gregory L. Ries		
Bundle 3	Jaqdish U. Patel	University of Illinois at Urbana-Champaign	
Bundle 3	Robert E. Hausman	Boston University	
Bundle 3	Samaradasa Weerahandi	Telcordia Technologies	
Bundle 3	Indika Meedeniya	Swinburne University of Technology	
Bundle 4	Anthony Boswell		
Bundle 4	J. Michael Kamrad II	University of Utah	
Bundle 4	Thomas J. LeBlanc	University of Miami	
Bundle 4	John J. Shilling	Georgia Institute of Technology	
Bundle 4	John L. Gieser	JRS Research Laboratories Inc.	
Bundle 5	Pearl Brereton	Keele University	
Bundle 5	Ioannis A. Kotsiopoulos	University of Manchester	
Bundle 5	Keith H. Bennett	Durham University	
Bundle 5	Mark Turner	University of Queensland	
Bundle 5	Fujun Zhu	Newcastle University	
Bundle 6	Alain Kurinckx	IRIA/LABORIA	
Bundle 6	Glenn H. MacEwen	Queen's University	
Bundle 6	Georg Handzel		
Bundle 6	Fred B. Schneider	Cornell University	
Bundle 6	Eralp A. Akkoyunlu	New York University	
Bundle 7	John McPherson	IBM	
Bundle 7	Thomas E. Perkins		
Bundle 7	Jyh-Sheng Ke	National Taipei University of Technology	
Bundle 7	A. James Baroody Jr.	Xerox Corporation	
Bundle 7	Eugene Wong	University of California Berkeley	
Bundle 8	Odile Laurent	Airbus Deutschland GmbH	
Bundle 8	Andrzej Wasylkowski	Saarland University	
Bundle 8	Brett Daniel	University of Illinois Urbana Champaign	
Bundle 8	Marat Boshernitsan	University of California Berkeley	
Bundle 8	N. H. Petschenik		
Bundle 9	Pradeep Jain	University of Florida	
Bundle 9	Alessandro Braccini		
Bundle 9	Ariel Pashtan	Massachusetts Institute of Technology	
Bundle 9	Rushikesh K. Joshi	Indian Institute of Technology Bombay	
Bundle 9	D. Janaki Ram	ERNET India	
Bundle 10	Roland Penner		
Bundle 10	Agnès Devarenne	Alcatel Lucent	
Bundle 10	T. Gallo	IBM	
Bundle 10	Jörg Köller	Rheinisch Westfalische Technische Hochschule Aachen	
Bundle 10	Yves Bernard	Université de Liège	
Objetive function	61.5
