Bundle	Author	Affiliation
Bundle 1	David Harel	Weizmann Institute of Science	
Bundle 1	Angelo Susi	Fondazione Bruno Kessler	
Bundle 1	Erik Sandewall	Linköping University	
Bundle 1	Henrik Sörensen	University of Pennsylvania	
Bundle 1	Mark G. Matthews	The MITRE Corporation	
Bundle 2	Kenji Taguchi	National Institute of Informatics	
Bundle 2	Ipek Ozkaya	Carnegie Mellon University	
Bundle 2	Donald J. Bagert	Southeast Missouri State University	
Bundle 2	David Klappholz	Stevens Institute of Technology	
Bundle 2	Herbert Pesch		
Bundle 3	Nancy E. Rallis	Boston College	
Bundle 3	Cynthia A. Walczak	National Institutes of  Health	
Bundle 3	Susan C. Murphy		
Bundle 3	Sebastian Höhn	University of Fribourg	
Bundle 3	Janet R. Dunham	research triangle institute of north carolina	
Bundle 4	Jeong A. Kang		
Bundle 4	Stephan Diehl	Saarland University	
Bundle 4	Tullio Vardanega	Università degli Studi di Padova	
Bundle 4	P. White	University of Manchester	
Bundle 4	A. Goldberg	University of California Berkeley	
Bundle 5	Jeffrey R. Spirn	Pennsylvania State University	
Bundle 5	Alexandre Brandwajn	University of California Santa Cruz	
Bundle 5	Wayne P. Stohs	University of Toronto	
Bundle 5	Ted A. Dolotta		
Bundle 5	Alan B. Finger	Yourdon	
Bundle 6	Alain Kurinckx	IRIA/LABORIA	
Bundle 6	Glenn H. MacEwen	Queen's University	
Bundle 6	Eralp A. Akkoyunlu	New York University	
Bundle 6	Allan L. Mennie	University of Alberta	
Bundle 6	James F. Elwell		
Bundle 7	Iain Bate	University of York	
Bundle 7	Leslie Lamport	Microsoft	
Bundle 7	R. G. Dewar	Heriot-Watt University	
Bundle 7	Cat Kutay	University of New South Wales	
Bundle 7	Colin Connaughton	IBM	
Bundle 8	Sanjay Bhansali	University of South Florida	
Bundle 8	Thomas Grechenig	Vienna University of Technology	
Bundle 8	Jennifer Hetzl		
Bundle 8	Miroslaw Staron	University of Gothenburg	
Bundle 8	Andrew Simpson	University of Oxford	
Bundle 9	Angelo Susi	Fondazione Bruno Kessler	
Bundle 9	Huoping Chen	University of Arizona	
Bundle 9	Erik Sandewall	Linköping University	
Bundle 9	Henrik Sörensen	University of Pennsylvania	
Bundle 9	David B. Johnson	Rice University	
Bundle 10	Salvatore Cavalieri	Università degli Studi di Catania	
Bundle 10	David R. Wallace	Massachusetts Institute of Technology	
Bundle 10	Kouichi Ono	IBM	
Bundle 10	Peter Fink		
Bundle 10	J. Fagerström	Linköping University	
Objetive function 	57.2009
