Bundle	ArticleId	Paper	Venue	Author
Bundle 1	2509	Performance Properties of Vertically Partitioned Object-Oriented Systems.	IEEE Trans. Software Eng.	James C. Browne, Stephen P. Hufnagel	
Bundle 1	2639	Generating Testing and Analysis Tools with Aria.	ACM Trans. Softw. Eng. Methodol.	David S. Rosenblum, Premkumar T. Devanbu, Alexander L. Wolf	
Bundle 1	5254	Using assertions to help end-user programmers create dependable web macros.	SIGSOFT FSE	Gregg Rothermel, Sebastian G. Elbaum, Lorin Hochstein, Christopher Scaffidi, Kathryn T. Stolee, Andhy Koesnandar	
Bundle 1	6769	Declarative Specification of Software Architectures.	ASE	John Penix, Klaus Havelund, Perry Alexander	
Bundle 1	9943	Application of Clustering to Estimate Missing Data and Improve Data Integrity.	ICSE	Richard C. T. Lee, C. T. Mong, James R. Slagle	
Bundle 2	2786	Integrating automated test generation into the WYSIWYT spreadsheet testing methodology.	ACM Trans. Softw. Eng. Methodol.	Gregg Rothermel, Marc Fisher II, Margaret M. Burnett, Curtis R. Cook, Mingming Cao, Darren Brown	
Bundle 2	3207	On the automatic evolution of an OS kernel using temporal logic and AOP.	ASE	Julia L. Lawall, Gilles Muller, Anne-Françoise Le Meur, Rickard A. Åberg, Mario Südholt	
Bundle 2	5370	Doloto: code splitting for network-bound web 2.0 applications.	SIGSOFT FSE	V. Benjamin Livshits, Emre Kiciman	
Bundle 2	10213	Experiments in Software Reliability: Life-Critical Applications.	IEEE Trans. Software Eng.	Janet R. Dunham	
Bundle 2	9736	An Extensible File System for Hydra.	ICSE	Guy T. Almes, George G. Robertson	
Bundle 3	678	FSM-Based Incremental Conformance Testing Methods.	IEEE Trans. Software Eng.	Gregor von Bochmann, Khaled El-Fakih, Nina Yevtushenko	
Bundle 3	2641	Automatic high-quality reengineering of database programs by abstraction, transformation and reimplementation.	ACM Trans. Softw. Eng. Methodol.	Yishai A. Feldman, Yossi Cohen	
Bundle 3	5432	Classifying properties: an alternative to the safety-liveness classification.	SIGSOFT FSE	Lori A. Clarke, Gleb Naumovich	
