id	Label	Intra
1	Bundle1	3.04868
2	Bundle2	2.89737
3	Bundle3	1.13555
4	Bundle4	0
5	Bundle5	0.0675588
6	Bundle6	1
7	Bundle7	0
8	Bundle8	0
9	Bundle9	0.316859
10	Bundle10	0.874956
