Bundle	ArticleId	Paper	Venue	Author
Bundle 1	62	Validating a Demonstration Tool for Graphics-Assisted Debugging of Ada Concurrent Programs.	IEEE Trans. Software Eng.	Michael B. Feldman, Melinda L. Moran	
Bundle 1	2643	Unifying aspect- and object-oriented design.	ACM Trans. Softw. Eng. Methodol.	Kevin J. Sullivan, Hridesh Rajan	
Bundle 1	2937	Eliminating products to test in a software product line.	ASE	Don S. Batory, Sarfraz Khurshid, Chang Hwan Peter Kim	
Bundle 1	4975	Identifying Feature Interactions in Multi-Language Aspect-Oriented Frameworks.	ICSE	David H. Lorenz, Sergei Kojarski	
Bundle 1	5316	Effective blame for information-flow violations.	SIGSOFT FSE	Somesh Jha, Dave King 0002, Trent Jaeger, Sanjit A. Seshia	
Bundle 2	26	Comments on Program Slicing.	IEEE Trans. Software Eng.	Hareton K. N. Leung, Hassan K. Reghbati	
Bundle 2	2740	Software reuse for scientific computing through program generation.	ACM Trans. Softw. Eng. Methodol.	Martin Erwig, Zhe Fu	
Bundle 2	3097	Automatic Generation of Content Management Systems from EER-Based Specifications.	ASE	Sebastiano Vigna	
Bundle 2	3798	Enhancing Software Testing by Judicious Use of Code Coverage Information.	ICSE	Roland Weber, Stefan Berner, Rudolf K. Keller	
Bundle 2	5213	Automatically locating framework extension examples.	SIGSOFT FSE	Harold Ossher, Barthélémy Dagenais	
Bundle 3	597	GUI Interaction Testing: Incorporating Event Context.	IEEE Trans. Software Eng.	Myra B. Cohen, Atif M. Memon, Xun Yuan	
Bundle 3	2608	Test conditions for fault classes in Boolean specifications.	ACM Trans. Softw. Eng. Methodol.	Jonathan P. Bowen, Kalpesh Kapoor	
Bundle 3	3029	Test suite reduction and prioritization with call trees.	ASE	Mary Lou Soffa, Gregory M. Kapfhammer, Joshua Geiger, Adam M. Smith	
Bundle 3	3551	Experimental program analysis: a new paradigm for program analysis.	ICSE	Joseph R. Ruthruff	
Bundle 3	5276	Automated identification of parameter mismatches in web applications.	SIGSOFT FSE	Alessandro Orso, William G. J. Halfond	
Bundle 4	36	Learning Communicating Automata from MSCs.	IEEE Trans. Software Eng.	Benedikt Bollig, Martin Leucker, Carsten Kern, Joost-Pieter Katoen	
Bundle 4	2594	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.	ACM Trans. Softw. Eng. Methodol.	Carol Smidts, Avik Sinha	
Bundle 4	2877	A lightweight approach for program analysis and debugging.	ICSE	M. G. Rakesh	
Bundle 4	2912	DESERT: a decentralized monitoring tool generator.	ASE	Paola Inverardi, Leonardo Mostarda	
Bundle 4	5489	PENELOPE: weaving threads to expose atomicity violations.	SIGSOFT FSE	Francesco Sorrentino 0002, Azadeh Farzan, P. Madhusudan	
Bundle 5	57	Interface Grammars for Modular Software Model Checking.	IEEE Trans. Software Eng.	Tevfik Bultan, Graham Hughes	
Bundle 5	2781	Amoeba: A methodology for modeling and evolving cross-organizational business processes.	ACM Trans. Softw. Eng. Methodol.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh	
Bundle 5	2931	Japanese Workshop on Leveraging Web2.0 Technologies in Software Development Environments (WebSDE).	ASE	Makoto Matsushita, Katsuhisa Maruyama, Shinichiro Yamamoto	
Bundle 5	3669	Architectures and Technologies for Enterprise Application Integration.	ICSE	Ian Gorton, Anna Liu	
Bundle 5	5212	Local analysis of atomicity sphere for B2B collaboration.	SIGSOFT FSE	Chang Xu, Chunyang Ye, W. K. Chan, S. C. Cheung	
Bundle 6	89	The Toy Language Syndrome.	IEEE Trans. Software Eng.	Barry K. Rosen	
Bundle 6	2750	Types and modularity for implicit invocation with implicit announcement.	ACM Trans. Softw. Eng. Methodol.	Sven Apel, Friedrich Steimann, Thomas Pawlitzki, Christian Kästner	
Bundle 6	3137	No Java without Caffeine: A Tool for Dynamic Analysis of Java Programs.	ASE	Yann-Gaël Guéhéneuc, Narendra Jussien, Rémi Douence	
Bundle 6	3853	Towards Safe Distributed Application Development.	ICSE	Rachid Guerraoui, Christian Heide Damm, Patrick Th. Eugster	
Bundle 6	5502	A trace simplification technique for effective debugging of concurrent programs.	SIGSOFT FSE	Koushik Sen, Nicholas Jalbert	
Bundle 7	80	An Exercise in Automatic Program Verification.	IEEE Trans. Software Eng.	Wolfgang Polak	
Bundle 7	2696	Parallel and Distributed Incremental Attribute Evaluation Algorithms for Multiuser Software Development Environments.	ACM Trans. Softw. Eng. Methodol.	Gail E. Kaiser, Simon M. Kaplan	
Bundle 7	3052	AGATE, Access Graph-Based Tools for Handling Encapsulation.	ASE	Gilles Ardourel, Marianne Huchard	
Bundle 7	3767	Requirements, domain and specifications: a viewpoint-based approach to requirements engineering.	ICSE	Andrés Silva	
Bundle 7	5446	A scalable technique for characterizing the usage of temporaries in framework-intensive Java applications.	SIGSOFT FSE	Barbara G. Ryder, Bruno Dufour, Gary Sevitsky	
Bundle 8	43	Exception Handlers in Functional Programming Languages.	IEEE Trans. Software Eng.	R. Govindarajan	
Bundle 8	2592	A Visual Model for Ada Tasking.	ACM Trans. Softw. Eng. Methodol.	Laura K. Dillon	
Bundle 8	2919	Security Specification and Verification.	ASE	Pascal Fenkam	
Bundle 8	3690	Fuzzy logic based interactive recovery of software design.	ICSE	Jörg Niere	
Bundle 8	5262	Detecting increases in feature coupling using regression tests.	SIGSOFT FSE	Martin P. Robillard, Olivier Giroux	
Bundle 9	76	An Application of a Method for Analysis of Cyclic Programs.	IEEE Trans. Software Eng.	Nissim Francez	
Bundle 9	2679	Task Dependence and Termination in Ada.	ACM Trans. Softw. Eng. Methodol.	Laura K. Dillon	
Bundle 9	3039	Static Typing for Ruby on Rails.	ASE	Jeffrey S. Foster, Avik Chaudhuri, Jong-hoon (David) An	
Bundle 9	5442	Scalable SMT-based verification of GPU kernel functions.	SIGSOFT FSE	Ganesh Gopalakrishnan, Guodong Li	
Bundle 9	5792	Modularity in the New Millenium: A Panel Summary.	ICSE	Don S. Batory, David Lorge Parnas, Premkumar T. Devanbu, Robert Balzer, Peri L. Tarr, Gregor Kiczales, John Launchbury	
Bundle 10	68	Performance of Storage Management in an Implementation of SNOBOL4.	IEEE Trans. Software Eng.	Ralph E. Griswold, David R. Hanson, G. David Ripley	
Bundle 10	2664	Model checking the Java metalocking algorithm.	ACM Trans. Softw. Eng. Methodol.	Scott A. Smolka, Samik Basu	
Bundle 10	2992	Software design sketching with calico.	ASE	André van der Hoek, Nicolas Mangano, Mitch Dempsey, Alex Baker, Emily Oh Navarro	
Bundle 10	3696	XMIDDLE: information sharing middleware for a mobile environment.	ICSE	Wolfgang Emmerich, Licia Capra, Cecilia Mascolo, Stefanos Zachariadis	
Bundle 10	5380	Checking Relational Specifications With Binary Decision Diagrams.	SIGSOFT FSE	Daniel Jackson, Craig Damon, Somesh Jha	
Objetive function	99.9993
