Bundle	Author	Affiliation
Bundle 1	Michal Politi	University of Vermont	
Bundle 1	Angelo Susi	Fondazione Bruno Kessler	
Bundle 1	Huoping Chen	University of Arizona	
Bundle 1	Erik Sandewall	Linköping University	
Bundle 1	Henrik Sörensen	University of Pennsylvania	
Bundle 2	Giorgio C. Buttazzo	Scuola Superiore Sant'Anna	
Bundle 2	Marco Caccamo	University of Illinois Urbana Champaign	
Bundle 2	Andrew P. Moore	CERT Network Situational Awareness Group	
Bundle 2	Murali Rangarajan	The Boeing Company	
Bundle 2	R. R. Willis		
Bundle 3	John A. Dallen	United States Military Academy	
Bundle 3	Maurice V. Wilkes	University of Cambridge	
Bundle 3	Andrew Martin	University of Oxford	
Bundle 3	Matthew L. Hale		
Bundle 3	Kevin A. Gary	Arizona State University	
Bundle 4	Nancy E. Rallis	Boston College	
Bundle 4	Cynthia A. Walczak	National Institutes of  Health	
Bundle 4	Susan C. Murphy		
Bundle 4	Sebastian Höhn	University of Fribourg	
Bundle 4	Janet R. Dunham	research triangle institute of north carolina	
Bundle 5	Aristidis Likas	University of Ioannina	
Bundle 5	Judy Kay	University of Sydney	
Bundle 5	Frank Ng	California State University, Fresno	
Bundle 5	Hausi A. Müller	University of Victoria	
Bundle 5	Bernd Schürmann	Technical University of Kaiserslautern	
Bundle 6	Atanas Rountev	Ohio State University	
Bundle 6	Bjørnar Tessem	University of Bergen	
Bundle 6	Wanchai Rivepiboon	Chulalongkorn University	
Bundle 6	Raymund Sison	De la Salle University Manila	
Bundle 6	Siew Hock Ow	University of Malaya	
Bundle 7	Peng Wu 0002	HP Labs	
Bundle 7	Gethin Norman	University of Glasgow	
Bundle 7	Catuscia Palamidessi	École Polytechnique (France)	
Bundle 7	Augusto Sampaio	Universidade Federal de Pernambuco	
Bundle 7	Klaus Grimm	Artemis	
Bundle 8	Harald Würges		
Bundle 8	George I. Davida	University of Wisconsin Madison	
Bundle 8	C. Russel Szelag	University of Wisconsin Milwaukee	
Bundle 8	Scott D. Fleming	Oregon State University	
Bundle 8	Geoff Staples	Southampton Solent University	
Bundle 9	Amir Pnueli	Weizmann Institute of Science	
Bundle 9	Angelo Susi	Fondazione Bruno Kessler	
Bundle 9	Huoping Chen	University of Arizona	
Bundle 9	Claes Strömberg	Linköping University	
Bundle 9	Mark G. Matthews	The MITRE Corporation	
Bundle 10	Sanjay Bhansali	University of South Florida	
Bundle 10	Thomas Grechenig	Vienna University of Technology	
Bundle 10	Jennifer Hetzl		
Bundle 10	Miroslaw Staron	University of Gothenburg	
Bundle 10	Andrew Simpson	University of Oxford	
Objetive function 	57.526
