Bundle	Author	Affiliation
Bundle 1	Jeff Kramer	Imperial College London	
Bundle 1	Alain Kurinckx	IRIA/LABORIA	
Bundle 1	Glenn H. MacEwen	Queen's University	
Bundle 1	Eralp A. Akkoyunlu	New York University	
Bundle 1	Cara L. Holman		
Bundle 2	Nancy E. Rallis	Boston College	
Bundle 2	Barry E. Jacobs	National Aeronautics and Space Administration, United States	
Bundle 2	Susan C. Murphy		
Bundle 2	Donald Firesmith	Carnegie Mellon University	
Bundle 2	Janet R. Dunham	research triangle institute of north carolina	
Bundle 3	Angelo Susi	Fondazione Bruno Kessler	
Bundle 3	Huoping Chen	University of Arizona	
Bundle 3	Erik Sandewall	Linköping University	
Bundle 3	Henrik Sörensen	University of Pennsylvania	
Bundle 3	David B. Johnson	Rice University	
Bundle 4	Sanjay Bhansali	University of South Florida	
Bundle 4	Thomas Grechenig	Vienna University of Technology	
Bundle 4	Jennifer Hetzl		
Bundle 4	Miroslaw Staron	University of Gothenburg	
Bundle 4	Andrew Simpson	University of Oxford	
Bundle 5	Iain Bate	University of York	
Bundle 5	Leslie Lamport	Microsoft	
Bundle 5	R. G. Dewar	Heriot-Watt University	
Bundle 5	Cat Kutay	University of New South Wales	
Bundle 5	Colin Connaughton	IBM	
Bundle 6	Jeffrey R. Spirn	Pennsylvania State University	
Bundle 6	Alexandre Brandwajn	University of California Santa Cruz	
Bundle 6	Wayne P. Stohs	University of Toronto	
Bundle 6	Ted A. Dolotta		
Bundle 6	Jonathan A. Bauer	Comshare	
Bundle 7	Kenji Taguchi	National Institute of Informatics	
Bundle 7	Ipek Ozkaya	Carnegie Mellon University	
Bundle 7	Donald J. Bagert	Southeast Missouri State University	
Bundle 7	David Klappholz	Stevens Institute of Technology	
Bundle 7	Peter Schnupp		
Bundle 8	Harald Würges		
Bundle 8	George I. Davida	University of Wisconsin Madison	
Bundle 8	C. Russel Szelag	University of Wisconsin Milwaukee	
Bundle 8	Scott D. Fleming	Oregon State University	
Bundle 8	Geoff Staples	Southampton Solent University	
Bundle 9	Angelo Susi	Fondazione Bruno Kessler	
Bundle 9	Claes Strömberg	Linköping University	
Bundle 9	Henrik Sörensen	University of Pennsylvania	
Bundle 9	Samuel D. Conte	University of California Davis	
Bundle 9	Mark G. Matthews	The MITRE Corporation	
Bundle 10	Jeffrey R. Spirn	Pennsylvania State University	
Bundle 10	Alexandre Brandwajn	University of California Santa Cruz	
Bundle 10	Wayne P. Stohs	University of Toronto	
Bundle 10	Ted A. Dolotta		
Bundle 10	Alan B. Finger	Yourdon	
Objetive function 	52.1462
