Bundle	ArticleId	Paper	Venue	Author
Bundle 1	1014	From CSP Models to Markov Models.	IEEE Trans. Software Eng.	Jens Nordahl, Erling Vagn Sørensen, Niels Herman Hansen	
Bundle 1	2621	Topology analysis of software dependencies.	ACM Trans. Softw. Eng. Methodol.	Martin P. Robillard	
Bundle 1	3022	Model-based self-monitoring embedded programs with temporal logic specifications.	ASE	Li Tan	
Bundle 1	5169	Risk Management in Software Development: A Technology Overview and the Riskit Method.	ICSE	Jyrki Kontio	
Bundle 1	5201	Testing context-aware middleware-centric programs: a data flow approach and an RFID-based experimentation.	SIGSOFT FSE	T. H. Tse, W. K. Chan, Heng Lu 0001	
Bundle 2	1162	Optimizing Shadow Recovery Algorithms.	IEEE Trans. Software Eng.	Jack Kent, Hector Garcia-Molina	
Bundle 2	2829	Comparing test sets and criteria in the presence of test hypotheses and fault domains.	ACM Trans. Softw. Eng. Methodol.	Robert M. Hierons	
Bundle 2	3894	Automatic generation of software behavioral models.	ICSE	Mauro Pezzè, Leonardo Mariani, Davide Lorenzoli	
Bundle 2	5442	Scalable SMT-based verification of GPU kernel functions.	SIGSOFT FSE	Ganesh Gopalakrishnan, Guodong Li	
Bundle 2	6655	NORA/HAMMR: Making Deduction-Based Software Component Retrieval Practical.	ASE	Bernd Fischer 0002, Johann Schumann	
Bundle 3	2686	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 3	2887	A unified fitness function calculation rule for flag conditions to improve evolutionary testing.	ASE	Hehui Liu, Bin Wang, Xiyang Liu, Ping Chen, Xiyao Cai	
Bundle 3	3836	Reverse Engineering to the Architectural Level.	ICSE	David R. Harris, Howard B. Reubenstein, Alexander S. Yeh	
Bundle 3	5370	Doloto: code splitting for network-bound web 2.0 applications.	SIGSOFT FSE	V. Benjamin Livshits, Emre Kiciman	
Bundle 3	8833	Analysis of Software Availability/Reliability Under the Influence of Hardware Failures.	IEEE Trans. Software Eng.	Ushio Sumita, Yasushi Masuda	
Bundle 4	1142	A Reflective Implementation of Java Multi-Methods.	IEEE Trans. Software Eng.	Rémi Forax, Gilles Roussel, Étienne Duris	
Bundle 4	2834	The interpretation and utility of three cohesion metrics for object-oriented design.	ACM Trans. Softw. Eng. Methodol.	Steve Counsell, Stephen Swift, Jason Crampton	
Bundle 4	5151	HOLMES: Effective statistical debugging via efficient path profiling.	ICSE	Aditya V. Nori, Ben Liblit, Kapil Vaswani, Krishna K. Mehra, Trishul M. Chilimbi	
Bundle 4	5429	CAIS: Collaborative Asynchronous Inspection of Software.	SIGSOFT FSE	John Riedl, Vahid Mashayekhi, Chris Feulner	
Bundle 4	6640	Automatically Structuring Textual Requirement Scenarios.	ASE	Jörg Köller, Andreas Becks	
Bundle 5	1431	Time-Sensitive Cost Models in the Commercial MIS Environment.	IEEE Trans. Software Eng.	D. Ross Jeffery	
Bundle 5	2822	Composing expressive runtime security policies.	ACM Trans. Softw. Eng. Methodol.	David Walker, Lujo Bauer, Jay Ligatti	
Bundle 5	3520	Eliminating navigation errors in web applications via model checking and runtime enforcement of navigation state machines.	ASE	Tevfik Bultan, Sylvain Hallé, Chris Bunch, Taylor Ettema	
Bundle 5	5498	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 5	9480	Software Architecture Based on Communicating Residential Environments.	ICSE	Erik Sandewall, Claes Strömberg, Henrik Sörensen	
Bundle 6	2825	An empirical study of industrial requirements engineering process assessment and improvement.	ACM Trans. Softw. Eng. Methodol.	Ian Sommerville, Jane Ransom	
