Bundle	ArticleId	Paper	Venue	Author
Bundle 8	2745	A knowledge-based method for inferring semantic concepts from visual models of system behavior.	ACM Trans. Softw. Eng. Methodol.	Hassan Gomaa, Kevin L. Mills	
Bundle 8	4717	Run-time efficient probabilistic model checking.	ICSE	Carlo Ghezzi, Giordano Tamburrelli, Antonio Filieri	
Bundle 8	5537	Toward a Formal Theory of Extensible Software.	SIGSOFT FSE	Shriram Krishnamurthi, Matthias Felleisen	
Bundle 8	6652	Towards a Theory for Integration of Mathematical Verification and Empirical Testing.	ASE	Michael R. Lowry, M. Boyd, D. Kulkarni	
Bundle 9	1997	A New Architecture for Transformation-Based Generators.	IEEE Trans. Software Eng.	Ted J. Biggerstaff	
Bundle 9	2792	A formal model of services.	ACM Trans. Softw. Eng. Methodol.	Manfred Broy, Ingolf H. Krüger, Michael Meisinger	
Bundle 9	5426	Lightweight extraction of syntactic specifications.	SIGSOFT FSE	Daniel Jackson, Mana Taghdiri, Robert Seater	
Bundle 9	7886	An Empirical Comparison of Automated Generation and Classification Techniques for Object-Oriented Unit Testing.	ASE	Michael D. Ernst, Tao Xie, Darko Marinov, Carlos Pacheco, Marcelo d'Amorim	
Bundle 9	9291	User Perceived Quality of Interactive Systems.	ICSE	Wolfgang Dzida, Siegfried Herda, Wolf D. Itzfeldt	
Bundle 10	1576	Analysis and Design in MSG.84: Formalizing Functional Specifications.	IEEE Trans. Software Eng.	Valdis Berzins, Michael Gray	
Bundle 10	2651	An empirical investigation of software reuse benefits in a large telecom product.	ACM Trans. Softw. Eng. Methodol.	Reidar Conradi, Parastoo Mohagheghi	
Bundle 10	3122	Automated Aspect Recommendation through Clustering-Based Fan-in Analysis.	ASE	Yao Guo, Danfeng Zhang, Xiangqun Chen	
Bundle 10	5485	Relevancy based semantic interoperation of reuse repositories.	SIGSOFT FSE	Lu Zhang 0023, Fuqing Yang, Ying Pan, Lei Wang, Bing Xie	
Bundle 10	9597	Software Re-engineering Position Statement.	ICSE	Eric Bush	
Objetive function	24.1985
