Bundle	ArticleId	Paper	Venue	Author
Bundle 1	2687	Identifying Crosscutting Concerns Using Fan-In Analysis.	ACM Trans. Softw. Eng. Methodol.	Arie van Deursen, Leon Moonen, Marius Marin	
Bundle 1	3102	A Technique for Mutation of Java Objects.	ASE	Sudipto Ghosh, James M. Bieman, Roger T. Alexander	
Bundle 1	5543	Memories of bug fixes.	SIGSOFT FSE	E. James Whitehead Jr., Sunghun Kim, Kai Pan	
Bundle 1	5601	The Sixth International Workshop on Economics-Driven Software Engineering Research (EDSER-6).	ICSE	Hakan Erdogmus, David Raffo, Jyrki Kontio, Michael A. Cusumano	
Bundle 1	6258	The Path Prefix Software Testing Strategy.	IEEE Trans. Software Eng.	Ronald E. Prather, J. Paul Myers Jr.	
Bundle 2	955	Generalization of Queueing Network Product Form Solutions to Stochastic Petri Nets.	IEEE Trans. Software Eng.	Gerard Florin, Stéphane Natkin	
Bundle 2	2656	DSD-Crasher: A hybrid analysis tool for bug finding.	ACM Trans. Softw. Eng. Methodol.	Tao Xie, Yannis Smaragdakis, Christoph Csallner	
Bundle 2	2961	Round-Trip Engineering of Framework-Based Software using Framework-Specific Modeling Languages.	ASE	Michal Antkiewicz	
Bundle 2	5262	Detecting increases in feature coupling using regression tests.	SIGSOFT FSE	Martin P. Robillard, Olivier Giroux	
Bundle 2	9329	XS-1: An Integrated Interactive System and Its Kernel.	ICSE	Jan Stelovsky, Hirotsugo Sugaya, G. Beretta, Helmar Burkhart, Peter Fink, Jürg Nievergelt	
Bundle 3	2005	A New Approach to Version Control.	IEEE Trans. Software Eng.	William W. Wadge, John Plaice	
Bundle 3	2594	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.	ACM Trans. Softw. Eng. Methodol.	Carol Smidts, Avik Sinha	
Bundle 3	3195	Identifying traits with formal concept analysis.	ASE	Stéphane Ducasse, Gabriela Arévalo, Adrian Lienhard	
Bundle 3	4851	Three approximation techniques for ASTRAL symbolic model checking of infinite state real-time systems.	ICSE	Richard A. Kemmerer, Zhe Dang	
Bundle 3	5511	On correct and complete strong merging of partial behaviour models.	SIGSOFT FSE	Sebastián Uchitel, Dario Fischbein	
Bundle 4	1954	A Rigorous Approach to Fault-Tolerant Programming.	IEEE Trans. Software Eng.	Flaviu Cristian	
Bundle 4	2746	Power laws in software.	ACM Trans. Softw. Eng. Methodol.	Panagiotis Louridas, Vasileios Vlachos, Diomidis Spinellis	
Bundle 4	3333	Towards leveraging model transformation to support model-based testing.	ASE	Debra J. Richardson, Hadar Ziv, Leila Naslavsky	
Bundle 4	4566	Lessons learnt from the analysis of large-scale corporate databases.	ICSE	D. Ross Jeffery, Barbara Kitchenham, Cat Kutay, Colin Connaughton	
Bundle 4	5485	Relevancy based semantic interoperation of reuse repositories.	SIGSOFT FSE	Lu Zhang 0023, Fuqing Yang, Ying Pan, Lei Wang, Bing Xie	
Bundle 5	281	Even Data Bases That Lie Can Be Compromised.	IEEE Trans. Software Eng.	David P. Dobkin, Richard A. DeMillo, Richard J. Lipton	
Bundle 5	2845	A compiler for analyzing cryptographic protocols using noninterference.	ACM Trans. Softw. Eng. Methodol.	Roberto Gorrieri, Riccardo Focardi, Antonio Durante	
Bundle 5	3859	Mining Security-Sensitive Operations in Legacy Code Using Concept Analysis.	ICSE	Somesh Jha, Dave King 0002, Trent Jaeger, Vinod Ganapathy	
Bundle 5	5426	Lightweight extraction of syntactic specifications.	SIGSOFT FSE	Daniel Jackson, Mana Taghdiri, Robert Seater	
Bundle 5	6820	UMLAUT: An Extendible UML Transformation Framework.	ASE	Jean-Marc Jézéquel, François Pennaneac'h, Alain Le Guennec, Wai-Ming Ho	
Bundle 6	66	Criteria for Software Reliability Model Comparisons.	IEEE Trans. Software Eng.	John D. Musa, Kazuhira Okumoto, Anthony Iannino, Bev Littlewood	
Bundle 6	2854	Temporal abstract classes and virtual temporal specifications for real-time systems.	ACM Trans. Softw. Eng. Methodol.	Alexander P. Pons	
Bundle 6	3205	An evaluation scheme of adaptive configuration techniques.	ASE	Salim Hariri, Huoping Chen	
Bundle 6	5332	Formalization and Application of a Unifying Model for Name Management.	SIGSOFT FSE	Jack C. Wileden, Alan Kaplan	
Bundle 6	9480	Software Architecture Based on Communicating Residential Environments.	ICSE	Erik Sandewall, Claes Strömberg, Henrik Sörensen	
Bundle 7	754	The Software Engineering Shortage: A Third Choice.	IEEE Trans. Software Eng.	James P. McGill	
Bundle 7	2686	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 7	3338	Formal specification generator for KAOS: model transformation approach to generate formal specifications from KAOS requirements models.	ASE	Shinichi Honiden, Hiroyuki Nakagawa, Kenji Taguchi	
Bundle 7	4608	Process Programming by Hindsight.	ICSE	Sanjay Bhansali, Pankaj K. Garg	
Bundle 7	5370	Doloto: code splitting for network-bound web 2.0 applications.	SIGSOFT FSE	V. Benjamin Livshits, Emre Kiciman	
Bundle 8		
Bundle 8	2737	APPL/A: A Language for Software Process Programming.	ACM Trans. Softw. Eng. Methodol.	Leon J. Osterweil, Dennis Heimbigner, Stanley M. Sutton Jr.	
Bundle 8	5498	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 8	6686	Application of Formal Methods to the Development of a Software Maintenance Tool.	ASE	Philippe Facon, Sandrine Blazy	
Bundle 8	9336	Design and Specification of the Minimal Subset of an Operating System Family (Abstract).	ICSE	David Lorge Parnas, Georg Handzel, Harald Würges	
Bundle 9	2162	An Efficient Distributed Protocol for Finding Shortest Paths in Networks with Negative Weights.	IEEE Trans. Software Eng.	M. A. Comeau, K. B. Lakshmanan, Krishnaiyan Thulasiraman	
Bundle 9	2853	The Larch/Smalltalk Interface Specification Language.	ACM Trans. Softw. Eng. Methodol.	Yoonsik Cheon, Gary T. Leavens	
Bundle 9	3322	Parallel Breadth-First Search LTL Model-Checking.	ASE	Lubos Brim, Jiri Barnat, Jakub Chaloupka	
Bundle 9	5382	PSE: explaining program failures via postmortem static analysis.	SIGSOFT FSE	Manu Sridharan, Manuvir Das, Zhe Yang, Roman Manevich, Stephen Adams	
Bundle 9	9136	Pilot: A Software Engineering Case Study.	ICSE	R. R. Horsley, William C. Lynch	
Bundle 10	224	Design and Implementation of Secure Xenix.	IEEE Trans. Software Eng.	N. Vasudevan, C. Sekar Chandersekaran, Gary L. Luckenbaugh, Wen-Der Jiang, Leslie J. Dotterer, Virgil D. Gligor, Robert S. Chapman, Matthew S. Hecht, Abhai Johri	
Bundle 10	2829	Comparing test sets and criteria in the presence of test hypotheses and fault domains.	ACM Trans. Softw. Eng. Methodol.	Robert M. Hierons	
Bundle 10	3894	Automatic generation of software behavioral models.	ICSE	Mauro Pezzè, Leonardo Mariani, Davide Lorenzoli	
Bundle 10	5442	Scalable SMT-based verification of GPU kernel functions.	SIGSOFT FSE	Ganesh Gopalakrishnan, Guodong Li	
Bundle 10	6655	NORA/HAMMR: Making Deduction-Based Software Component Retrieval Practical.	ASE	Bernd Fischer 0002, Johann Schumann	
Objetive function	22.4802
