Bundle	Paper	Venue	Author
Bundle 1	Developing a Single Model and Test Prioritization Strategies for Event-Driven Software.	IEEE Trans. Software Eng.	Atif M. Memon, Sreedevi Sampath, Renée C. Bryce	
Bundle 1	Empirical evaluation of a nesting testability transformation for evolutionary testing.	ACM Trans. Softw. Eng. Methodol.	David Binkley, Mark Harman, Phil McMinn	
Bundle 1	Architecting in the Face of Uncertainty: An Experience Report.	ICSE	Ian Gorton, Jereme Haack	
Bundle 1	An enhanced test case selection approach for model-based testing: an industrial case study.	SIGSOFT FSE	Lionel C. Briand, Shaukat Ali, Hadi Hemmati, Andrea Arcuri	
Bundle 1	On-the-Fly Generation of K-Path Tests for C Functions.	ASE	Patricia Mouy, Nicky Williams, Bruno Marre	
Bundle 2	Interface Compilation: Steps Toward Compiling Program Interfaces as Languages.	IEEE Trans. Software Eng.	Dawson R. Engler	
Bundle 2	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.	ACM Trans. Softw. Eng. Methodol.	Carol Smidts, Avik Sinha	
Bundle 2	Enforcing Business Policies Through Automated Reconfiguration.	ASE	José Luiz Fiadeiro, Michel Wermelinger, Luis Filipe Andrade	
Bundle 2	Software test program: a software residency experience.	ICSE	Luis Figueiredo, Carlos Albuquerque, Luckerson Cruz, João Vasconcelos, Augusto Sampaio, Sérgio Cavalcante	
Bundle 2	PENELOPE: weaving threads to expose atomicity violations.	SIGSOFT FSE	Francesco Sorrentino 0002, Azadeh Farzan, P. Madhusudan	
Bundle 3	Capture-Recaptur Sampling for Estimating Software Error Content.	IEEE Trans. Software Eng.	Joe W. Duran, John J. Wiorkowski	
Bundle 3	Temporal abstract classes and virtual temporal specifications for real-time systems.	ACM Trans. Softw. Eng. Methodol.	Alexander P. Pons	
Bundle 3	Human and social factors of software engineering.	ICSE	Frank Maurer, Bjørnar Tessem, Michael John	
Bundle 3	Test Case Generation by Means of Learning Techniques.	SIGSOFT FSE	Francesco Bergadano	
Bundle 3	Planning Equational Verification in CCS.	ASE	Alan Bundy, Ian Green, Raul Monroy	
Bundle 4	Handling Obstacles in Goal-Oriented Requirements Engineering.	IEEE Trans. Software Eng.	Axel van Lamsweerde, Emmanuel Letier	
Bundle 4	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 4	Improving change prediction with fine-grained source code mining.	ASE	Huzefa H. Kagdi	
Bundle 4	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 4	An Introduction to the Programmer's Workbench.	ICSE	John R. Mashey, Ted A. Dolotta	
Bundle 5	A Framework for Neural Net Specification.	IEEE Trans. Software Eng.	Leslie S. Smith	
Bundle 5	Verdict functions in testing with a fault domain or test hypotheses.	ACM Trans. Softw. Eng. Methodol.	Robert M. Hierons	
Bundle 5	Visual Constraint Diagrams: Runtime Conformance Checking of UML Object Models versus Implementations.	ASE	Christopher Wolfe, Julian Ball, David Holman, Hugh D. Stewart, Arthur G. Ryman, T. C. Nicholas Graham, Christopher J. Turner	
Bundle 5	Marple: a demand-driven path-sensitive buffer overflow detector.	SIGSOFT FSE	Mary Lou Soffa, Wei Le	
Bundle 5	Productivity Factors and Programming Environments.	ICSE	Bill Curtis, R. Wolverton, S. Hoben, J. Vosburgh, H. Malec, B. Albert, Y. Liu	
Bundle 6	An Empirical Study of Software Metrics.	IEEE Trans. Software Eng.	W. K. Cheung, H. F. Li	
