Bundle	Paper	Venue	Author
Bundle 1	Some Equivalence Results for Load-Independent Exponential Queueing Networks.	IEEE Trans. Software Eng.	William J. Stewart, Wayne P. Stohs	
Bundle 1	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 1	Enhancing Compositional Reachability Analysis with Context Constraints.	SIGSOFT FSE	Jeff Kramer, Shing-Chi Cheung	
Bundle 1	RCAT: A Performance Analysis Tool.	ASE	Zakarya Alzamil	
Bundle 1	The LEAP Load and Test Driver.	ICSE	William D. Roome, Ted A. Dolotta, J. S. Licwinko, R. E. Menninger	
Bundle 2	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.	ACM Trans. Softw. Eng. Methodol.	Carol Smidts, Avik Sinha	
Bundle 2	Reducing the Cost of Path Property Monitoring Through Sampling.	ASE	Sebastian G. Elbaum, Matthew B. Dwyer, Madeline Diep	
Bundle 2	An Empirical Study of Communication in Code Inspections.	ICSE	Victor R. Basili, Carolyn B. Seaman	
Bundle 2	PENELOPE: weaving threads to expose atomicity violations.	SIGSOFT FSE	Francesco Sorrentino 0002, Azadeh Farzan, P. Madhusudan	
Bundle 2	Guest Editor's Introduction Formal Methods in Software Engineering.	IEEE Trans. Software Eng.	Nancy G. Leveson	
Bundle 3	Real-Time Execution Monitoring.	IEEE Trans. Software Eng.	Bernhard Plattner	
Bundle 3	Temporal abstract classes and virtual temporal specifications for real-time systems.	ACM Trans. Softw. Eng. Methodol.	Alexander P. Pons	
Bundle 3	Automated Software Testing Using a Metaheuristic Technique Based on Tabu Search.	ASE	Raquel Blanco, Eugenia Díaz, Javier Tuya	
Bundle 3	Building modular object-oriented systems with reusable collaborations (tutorial session).	ICSE	Karl J. Lieberherr, Mira Mezini, David H. Lorenz	
Bundle 3	Integrating Status and Event Phenomena in Formal Specifications of Interactive Systems.	SIGSOFT FSE	Gregory D. Abowd, Alan J. Dix	
Bundle 4	What Types of Defects Are Really Discovered in Code Reviews?	IEEE Trans. Software Eng.	Casper Lassenius, Mika Mäntylä	
Bundle 4	Power laws in software.	ACM Trans. Softw. Eng. Methodol.	Panagiotis Louridas, Vasileios Vlachos, Diomidis Spinellis	
Bundle 4	Software Requirements Negotiation and Renegotiation Aids: A Theory-W Based Spiral Approach.	ICSE	Barry W. Boehm, Ellis Horowitz, Prasanta K. Bose, Ming June Lee	
Bundle 4	Relevancy based semantic interoperation of reuse repositories.	SIGSOFT FSE	Lu Zhang 0023, Fuqing Yang, Ying Pan, Lei Wang, Bing Xie	
Bundle 4	An Empirical Study of the Evolution of a Software System.	ASE	Rachel Harrison, Brian Warboys, R. Mark Greenwood, Peter Henderson	
Bundle 5	SLAN-4 - A Software Specification and Design Language.	IEEE Trans. Software Eng.	Otthein Herzog, Friedrich W. Beichter, Heiko Petzsch	
Bundle 5	An empirical investigation of software reuse benefits in a large telecom product.	ACM Trans. Softw. Eng. Methodol.	Reidar Conradi, Parastoo Mohagheghi	
Bundle 5	Using return on investment to compare agile and plan-driven practices in undergraduate group projects.	ICSE	R. G. Dewar, P. J. Rundle	
Bundle 5	Relevancy based semantic interoperation of reuse repositories.	SIGSOFT FSE	Lu Zhang 0023, Fuqing Yang, Ying Pan, Lei Wang, Bing Xie	
Bundle 5	An Empirical Study of the Evolution of a Software System.	ASE	Rachel Harrison, Brian Warboys, R. Mark Greenwood, Peter Henderson	
Bundle 6	Efficient Analysis of DynAlloy Specifications.	ACM Trans. Softw. Eng. Methodol.	Nazareno Aguirre, Marcelo F. Frias, Carlos López Pombo, Juan P. Galeotti	
Bundle 6	A context-sensitive structural heuristic for guided search model checking.	ASE	Neha Rungta, Eric G. Mercer	
Bundle 6	Dealing with Non-Functional Requirements: Three Experimental Studies of a Process-Oriented Approach.	ICSE	Brian A. Nixon, Lawrence Chung	
Bundle 6	Architectural primitives for distribution and mobility.	SIGSOFT FSE	José Luiz Fiadeiro, Michel Wermelinger, Antónia Lopes	
Bundle 6	A Rational Design Process: How and Why to Fake it.	IEEE Trans. Software Eng.	David Lorge Parnas, Paul C. Clements	
Bundle 7	A Framework for Neural Net Specification.	IEEE Trans. Software Eng.	Leslie S. Smith	
Bundle 7	On Statecharts with Overlapping.	ACM Trans. Softw. Eng. Methodol.	David Harel, Chaim-Arie Kahana	
Bundle 7	A Temporal Logic Approach to the Specification of Reconfigurable Component-Based Systems.	ASE	Nazareno Aguirre, T. S. E. Maibaum	
Bundle 7	Refactoring-Aware Configuration Management for Object-Oriented Programs.	ICSE	Kashif Manzoor, Danny Dig, Tien N. Nguyen, Ralph E. Johnson	
Bundle 7	PENELOPE: weaving threads to expose atomicity violations.	SIGSOFT FSE	Francesco Sorrentino 0002, Azadeh Farzan, P. Madhusudan	
Bundle 8	Empirical Analysis of Software Fault Content and Fault Proneness Using Bayesian Methods.	IEEE Trans. Software Eng.	Joanne Bechta Dugan, Ganesh J. Pai	
Bundle 8	Measuring the strength of information flows in programs.	ACM Trans. Softw. Eng. Methodol.	Wes Masri, Andy Podgurski	
