Bundle	Paper	Venue	Author
Bundle 1	Formal interpreters for diagram notations.	ACM Trans. Softw. Eng. Methodol.	Mauro Pezzè, Luciano Baresi	
Bundle 1	Software systems as cities: a controlled experiment.	ICSE	Michele Lanza, Romain Robbes, Richard Wettel	
Bundle 1	Marple: a demand-driven path-sensitive buffer overflow detector.	SIGSOFT FSE	Mary Lou Soffa, Wei Le	
Bundle 1	An Economic Model to Estimate Software Rewriting and Replacement Times.	IEEE Trans. Software Eng.	Teck Hua Ho, Taizan Chan, Siu Leung Chung	
Bundle 1	A DSL Approach to Improve Productivity and Safety in Device Drivers Development.	ASE	Gilles Muller, Laurent Réveillère, Charles Consel, Renaud Marlet, Fabrice Mérillon	
Bundle 2	The Case for Electric Design of Real-Time Software.	IEEE Trans. Software Eng.	Bo Sanden	
Bundle 2	Temporal abstract classes and virtual temporal specifications for real-time systems.	ACM Trans. Softw. Eng. Methodol.	Alexander P. Pons	
Bundle 2	Clone-Aware Configuration Management.	ASE	Tien N. Nguyen, Jafar M. Al-Kofahi, Hoan Anh Nguyen, Nam H. Pham, Tung Thanh Nguyen	
Bundle 2	Experience applying the SPIN model checker to an industrial telecommunications system.	ICSE	T. C. Nicholas Graham, Jürgen Dingel, Barry Long	
Bundle 2	Integrating Status and Event Phenomena in Formal Specifications of Interactive Systems.	SIGSOFT FSE	Gregory D. Abowd, Alan J. Dix	
Bundle 3	Xstream: A Middleware for Streaming XML Contents over Wireless Environments.	IEEE Trans. Software Eng.	Alvin T. S. Chan, Hong Va Leong, Eugene Y. C. Wong	
Bundle 3	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 3	Checking Subsystem Safety Properties in Compositional Reachability Analysis.	ICSE	Jeff Kramer, Shing-Chi Cheung	
Bundle 3	Using assertions to help end-user programmers create dependable web macros.	SIGSOFT FSE	Gregg Rothermel, Sebastian G. Elbaum, Lorin Hochstein, Christopher Scaffidi, Kathryn T. Stolee, Andhy Koesnandar	
Bundle 3	Semantic Links and Co-Evolution in Object-Oriented Software Development.	ASE	Ragnhild Van Der Straeten	
Bundle 4	A Theoretical and Empirical Study of Search-Based Testing: Local, Global, and Hybrid Search.	IEEE Trans. Software Eng.	Mark Harman, Phil McMinn	
Bundle 4	Software Trustability Analysis.	ACM Trans. Softw. Eng. Methodol.	William E. Howden, Yudong Huang	
Bundle 4	SEREBRO: facilitating student project team collaboration.	ICSE	Rose F. Gamble, Noah Jorgenson, Matthew L. Hale	
Bundle 4	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 4	Precise Specification and Automatic Application of Design Patterns.	ASE	Amiram Yehudai, Joseph Gil, Amnon H. Eden	
Bundle 5	Simplifying and Isolating Failure-Inducing Input.	IEEE Trans. Software Eng.	Andreas Zeller, Ralf Hildebrandt	
Bundle 5	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 5	Formalization and Application of a Unifying Model for Name Management.	SIGSOFT FSE	Jack C. Wileden, Alan Kaplan	
Bundle 5	NAVCo: Negotiation-based Adaptive View Coordination.	ASE	Prasanta K. Bose, Mark G. Matthews	
Bundle 5	Software Architecture Based on Communicating Residential Environments.	ICSE	Erik Sandewall, Claes Strömberg, Henrik Sörensen	
Bundle 6	Cleanroom Software Development: An Empirical Evaluation.	IEEE Trans. Software Eng.	Victor R. Basili, Richard W. Selby, Terry Baker	
Bundle 6	Amoeba: A methodology for modeling and evolving cross-organizational business processes.	ACM Trans. Softw. Eng. Methodol.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh	
Bundle 6	Validating Automotive Control Software Using Instrumentation-Based Verification.	ASE	Rance Cleaveland, Arnab Ray, Chris Martin, Charles P. Shelton, Iris Morschhaeuser, Christopher Ackermann	
Bundle 6	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 6	On the Influence of Scale in a Distributed System.	ICSE	Mahadev Satyanarayanan	
Bundle 7	Formal Grammar and Human Factors Design of an Interactive Graphics System.	IEEE Trans. Software Eng.	Phyllis Reisner	
Bundle 7	Double Iterative Framework for Flow-Sensitive Interprocedural Data Flow Analysis.	ACM Trans. Softw. Eng. Methodol.	István Forgács	
Bundle 7	Visualizing clone detection results.	ASE	Jeff Gray, Robert Tairas, Ira D. Baxter	
Bundle 7	Spontaneous software: a Web-based, object computing paradigm.	ICSE	Glêdson Elias da Silveira	
Bundle 7	Basset: a tool for systematic testing of actor programs.	SIGSOFT FSE	Gul Agha, Darko Marinov, Steven Lauterburg, Rajesh K. Karmani	
Bundle 8	Using Annotations to Make Recursion Equations Behave.	IEEE Trans. Software Eng.	Jerald Schwarz	
Bundle 8	Hybrid Slicing: Integrating Dynamic Information with Static Analysis.	ACM Trans. Softw. Eng. Methodol.	Mary Lou Soffa, Rajiv Gupta, John Howard	
Bundle 8	Software Cost Estimation using Fuzzy Decision Trees.	ASE	Andreas S. Andreou, Efi Papatheocharous	
Bundle 8	Making Resource Decisions for Software Projects.	ICSE	Norman E. Fenton, Martin Neil, Patrick Cates, Simon Forey, Manesh Tailor, William Marsh	
Bundle 8	Implicit context: easing software evolution and reuse.	SIGSOFT FSE	Robert J. Walker, Gail C. Murphy	
Bundle 9	A Machine Description Facility for Compiler Testing.	IEEE Trans. Software Eng.	Hanan Samet	
Bundle 9	Functional size measurement revisited.	ACM Trans. Softw. Eng. Methodol.	Onur Demirörs, Çigdem Gencel	
Bundle 9	Code Completion from Abbreviated Input.	ASE	Robert C. Miller, Sangmok Han, David R. Wallace	
Bundle 9	Deriving input syntactic structure from execution.	SIGSOFT FSE	Zhiqiang Lin, Xiangyu Zhang	
Bundle 9	Empowering Software Engineers in Human-Centered Design.	ICSE	Alina Andreevskaia, Ahmed Seffah	
Bundle 10	The Unix System and Software Reusability.	IEEE Trans. Software Eng.	Brian W. Kernighan	
Bundle 10	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 10	SEREBRO: facilitating student project team collaboration.	ICSE	Rose F. Gamble, Noah Jorgenson, Matthew L. Hale	
Bundle 10	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 10	COMPASS: Tool-Supported Adaptation of Interactions.	ASE	Dirk Heuzeroth	
Objetive function 	30.5376
