Bundle	Paper	Venue	Author
Bundle 1	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 1	Automated Support for Encapsulating Abstract Data Types.	SIGSOFT FSE	Robert W. Bowdidge, William G. Griswold	
Bundle 1	Petri Net Performance Models.	IEEE Trans. Software Eng.	Guy Juanole	
Bundle 1	RCAT: A Performance Analysis Tool.	ASE	Zakarya Alzamil	
Bundle 1	An Introduction to the Programmer's Workbench.	ICSE	John R. Mashey, Ted A. Dolotta	
Bundle 2	Temporal abstract classes and virtual temporal specifications for real-time systems.	ACM Trans. Softw. Eng. Methodol.	Alexander P. Pons	
Bundle 2	Distributed software development projects: work breakdown approaches to overcome key coordination challenges.	ICSE	Jude Fernandez, Sanjay Mohan	
Bundle 2	On CASE Tool Usage at Nokia.	ASE	Alessandro Maccari, Claudio Riva, Francesco Maccari	
Bundle 2	Integrating Status and Event Phenomena in Formal Specifications of Interactive Systems.	SIGSOFT FSE	Gregory D. Abowd, Alan J. Dix	
Bundle 2	Reuse of Software Through Generation of Partial Systems.	IEEE Trans. Software Eng.	Franz-Josef Polster	
Bundle 3	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.	ACM Trans. Softw. Eng. Methodol.	Carol Smidts, Avik Sinha	
Bundle 3	Reducing the Cost of Path Property Monitoring Through Sampling.	ASE	Sebastian G. Elbaum, Matthew B. Dwyer, Madeline Diep	
Bundle 3	An Empirical Study of Communication in Code Inspections.	ICSE	Victor R. Basili, Carolyn B. Seaman	
Bundle 3	PENELOPE: weaving threads to expose atomicity violations.	SIGSOFT FSE	Francesco Sorrentino 0002, Azadeh Farzan, P. Madhusudan	
Bundle 3	Guest Editor's Introduction Formal Methods in Software Engineering.	IEEE Trans. Software Eng.	Nancy G. Leveson	
Bundle 4	An Engineering Approach to Software Test Data Design.	IEEE Trans. Software Eng.	Samuel T. Redwine Jr.	
Bundle 4	Avoiding coincidental correctness in boundary value analysis.	ACM Trans. Softw. Eng. Methodol.	Robert M. Hierons	
Bundle 4	A unified fitness function calculation rule for flag conditions to improve evolutionary testing.	ASE	Hehui Liu, Bin Wang, Xiyang Liu, Ping Chen, Xiyao Cai	
Bundle 4	Secure systems development based on the common criteria: the PalME project.	SIGSOFT FSE	Guido Wimmel, Alexander K. Wißpeintner, Monika Vetterling	
Bundle 4	A System for Parallel Programming.	ICSE	Karsten Schwan, Sridhar Vasudevan, Rajiv Ramnath, David M. Ogle	
Bundle 5	Shortening Matching Time in OPS5 Production Systems.	IEEE Trans. Software Eng.	Jeong A. Kang, Albert Mo Kim Cheng	
Bundle 5	Test conditions for fault classes in Boolean specifications.	ACM Trans. Softw. Eng. Methodol.	Jonathan P. Bowen, Kalpesh Kapoor	
Bundle 5	Pallino: automation to support regression test selection for cots-based applications.	ASE	Jiang Zheng 0001, Brian Robinson, Laurie Williams	
Bundle 5	On Formal Requirements Modeling Languages: RML Revisited.	ICSE	Alexander Borgida, John Mylopoulos, Sol J. Greenspan	
Bundle 5	Automated identification of parameter mismatches in web applications.	SIGSOFT FSE	Alessandro Orso, William G. J. Halfond	
Bundle 6	An Approach to Distributed Computing System Software Design.	IEEE Trans. Software Eng.	Sol M. Shatz, Stephen S. Yau, Chen-Chau Yang	
