Bundle	Author	Affiliation
Bundle 1	Jeff Kramer	Imperial College London	
Bundle 1	Alain Kurinckx	IRIA/LABORIA	
Bundle 1	Glenn H. MacEwen	Queen's University	
Bundle 1	Eralp A. Akkoyunlu	New York University	
Bundle 1	Cara L. Holman		
Bundle 2	Giuliano Casale	Imperial College London	
Bundle 2	Susan L. Graham	Lawrence Berkeley National Laboratory	
Bundle 2	Rachel K. E. Bellamy	IBM	
Bundle 2	José Raúl Romero	Universidad de Córdoba	
Bundle 2	Mark G. Matthews	The MITRE Corporation	
Bundle 3	Nathaniel Ayewah	University of Maryland	
Bundle 3	Kristina Winbladh	University of Delaware	
Bundle 3	Thomas A. Alspaugh	Georgetown University	
Bundle 3	Philip Weaver	Oregon Health & Science University	
Bundle 3	Casimiro Hernandez Parro	Alcatel Lucent	
Bundle 4	Yun-Hong Lee	University of California Berkeley	
Bundle 4	Takaaki Tateishi	IBM	
Bundle 4	Liam O'Brien	CSIRO & ANU Yarralumla	
Bundle 4	Steffen Thiel	Hochschule Furtwangen	
Bundle 4	Goetz Botterweck	University of Limerick	
Bundle 5	Chunyang Ye	University of Toronto	
Bundle 5	Rakesh Jha	University of Minnesota	
Bundle 5	Dennis T. Cornhill		
Bundle 5	J. Michael Kamrad II	University of Utah	
Bundle 5	Markku Hakala	Tampere University of Technology	
Bundle 6	W. Kent Fuchs	Purdue University	
Bundle 6	Karsten Schmidt 0004	Technical University of Kaiserslautern	
Bundle 6	Paolo Di Blasio	Università degli Studi Roma Tre	
Bundle 6	Kathleen Fisher	AT&T Bell Laboratories	
Bundle 6	Carolyn L. Talcott	Stanford University	
Bundle 7	Angelo Susi	Fondazione Bruno Kessler	
Bundle 7	Claes Strömberg	Linköping University	
Bundle 7	Henrik Sörensen	University of Pennsylvania	
Bundle 7	Samuel D. Conte	University of California Davis	
Bundle 7	Mark G. Matthews	The MITRE Corporation	
Bundle 8	Raymond Jacoby		
Bundle 8	Bart De Win	Catholic University of Leuven	
Bundle 8	Martin Becker	Fraunhofer Society	
Bundle 8	Rosemarie Lamm	University of South Florida	
Bundle 8	Arthur I. Karshmer	University of San Francisco	
Bundle 9	Nathaniel Ayewah	University of Maryland	
Bundle 9	Kristina Winbladh	University of Delaware	
Bundle 9	Thomas A. Alspaugh	Georgetown University	
Bundle 9	Philip Weaver	Oregon Health & Science University	
Bundle 9	Roland Suttels		
Bundle 10	Takeshi Ogihara		
Bundle 10	Doron Peled	University of Warwick	
Bundle 10	Gérald Lévy	Cadence Berkeley Labs	
Bundle 10	Wang Hong	University of Manchester	
Bundle 10	Witold Litwin	Paris Dauphine University	
Objetive function 	36.8917
