Bundle	Author	Affiliation
Bundle 1	Michal Young	University of Oregon	
Bundle 1	Alain Kurinckx	IRIA/LABORIA	
Bundle 1	Glenn H. MacEwen	Queen's University	
Bundle 1	Georg Handzel		
Bundle 1	Allan L. Mennie	University of Alberta	
Bundle 2	Eve MacGregor	University of British Columbia	
Bundle 2	Wolfgang Zuser	Vienna University of Technology	
Bundle 2	Yang Meng Tan	Massachusetts Institute of Technology	
Bundle 2	Kevin A. Gary	Arizona State University	
Bundle 2	John D. Tvedt	Catholic University of America	
Bundle 3	Shigeru Masuyama	Toyohashi University of Technology	
Bundle 3	Jocelyn Simmonds	University of Toronto	
Bundle 3	M. Cecilia Bastarrica	Universidad de Chile	
Bundle 3	Tony Tseng	Savannah College of Art and Design	
Bundle 3	Daniel J. Dougherty	Worcester Polytechnic Institute	
Bundle 4	James E. Allchin	Georgia Institute of Technology	
Bundle 4	David Rozenshtein	Rutgers, The State University of New Jersey	
Bundle 4	Jacob Stein	Brown University	
Bundle 4	David Maier	Portland State University	
Bundle 4	Ana Moreira	Universidade Nova de Lisboa	
Bundle 5	Sébastien Ville	INRIA	
Bundle 5	Brett Daniel	University of Illinois Urbana Champaign	
Bundle 5	Marat Boshernitsan	University of California Berkeley	
Bundle 5	Andres Kull	Elvior, Tallinn, Estonia	
Bundle 5	Klaus Schmid	University of Hildesheim	
Bundle 6	Shi-Kuo Chang	University of Pittsburgh	
Bundle 6	James P. McGill	University of Southern California	
Bundle 6	James Hayes	University of California San Diego	
Bundle 6	Nathalie Moreno	Universitat Politècnica de Catalunya	
Bundle 6	Francisco Durán	Universidad de Málaga	
Bundle 7	Jeffrey R. Spirn	Pennsylvania State University	
Bundle 7	SaiDeep Tetali	University of California Los Angeles	
Bundle 7	Aditya V. Thakur	University of Wisconsin Madison	
Bundle 7	Robert J. Simmons	Carnegie Mellon University	
Bundle 7	Jonathan Jacky	University of Washington	
Bundle 8	Phyllis G. Frankl	Polytechnic University of New York	
Bundle 8	Huoping Chen	University of Arizona	
Bundle 8	Claes Strömberg	Linköping University	
Bundle 8	Ulrich W. Eisenecker	University of Leipzig	
Bundle 8	Mark G. Matthews	The MITRE Corporation	
Bundle 9	Ganesh Gopalakrishnan	University of Utah	
Bundle 9	Jane Cleland-Huang	Depaul University	
Bundle 9	Jarmo Kalaoja	Technical Research Centre of Finland	
Bundle 9	Patricia Lago	VU University of Amsterdam	
Bundle 9	Lawrence J. Henschen	Northwestern University	
Bundle 10	David Hung-Chang Du	University of Minnesota	
Bundle 10	John Werth	University of Texas Austin	
Bundle 10	Mark W. Bailey	Hamilton College	
Bundle 10	Cat Kutay	University of New South Wales	
Bundle 10	Colin Connaughton	IBM	
Objetive function 	35.2511
