Bundle	Author	Affiliation
Bundle 1	Jack C. Wileden	University of Massachusetts	
Bundle 1	Angelo Susi	Fondazione Bruno Kessler	
Bundle 1	Huoping Chen	University of Arizona	
Bundle 1	Claes Strömberg	Linköping University	
Bundle 1	Henrik Sörensen	University of Pennsylvania	
Bundle 2	Berteun Damman	Rheinisch Westfalische Technische Hochschule Aachen	
Bundle 2	Husain Aljazzar	University of Konstanz	
Bundle 2	Fred B. Schneider	Cornell University	
Bundle 2	Jan Sinschek	Darmstadt University of Technology	
Bundle 2	L. R. Satz		
Bundle 3	Edward L. Robertson	Indiana University	
Bundle 3	Wolfgang Zuser	Vienna University of Technology	
Bundle 3	Juan-Luis Gorricho	Universitat Politècnica de Catalunya	
Bundle 3	Martha-Rocio Ceballos	Instituto Tecnologico de Conkal	
Bundle 3	David G. Esp		
Bundle 4	Jeremy Jacob	University of York	
Bundle 4	Edmund B. Daly	GTE Automatic Research Laboratory	
Bundle 4	Je-Hao Wang	University of Minnesota	
Bundle 4	Robin Williams	University of Edinburgh	
Bundle 4	David L. Wells		
Bundle 5	Thomas Joseph		
Bundle 5	Jeremy Sproston	Università degli Studi di Torino	
Bundle 5	Sanjev Krishnamohan	University of Auckland	
Bundle 5	David Chemouil	Centre National de Etudes Spatiales	
Bundle 5	Nadège Pontisso	Université de Toulouse	
Bundle 6	Kyoko Mizumachi	OKI Electric Industry Company	
Bundle 6	Makoto Yoshida	Okayama University of Science	
Bundle 6	James P. Huang	The Boeing Company	
Bundle 6	Alfred Aue	Technische Universität München	
Bundle 6	Thomas Fussbroich	Fraunhofer FIT	
Bundle 7	Marco Caccamo	University of Illinois Urbana Champaign	
Bundle 7	Amram Ben-David		
Bundle 7	Judy H. Moore	Imperial College London	
Bundle 7	Nathalie Moreno	Universitat Politècnica de Catalunya	
Bundle 7	Sergey Butkevich	Ohio State University	
Bundle 8	Javier Andrade Garda	Universidade da Coruna	
Bundle 8	Jane Cleland-Huang	Depaul University	
Bundle 8	Jarmo Kalaoja	Technical Research Centre of Finland	
Bundle 8	Patricia Lago	VU University of Amsterdam	
Bundle 8	Lawrence J. Henschen	Northwestern University	
Bundle 9	Larry Carter	University of California San Diego	
Bundle 9	Pinata Winoto	Konkuk University	
Bundle 9	Judy H. Moore	Imperial College London	
Bundle 9	Rob Miller 0003	University College London	
Bundle 9	Shuuma Morimoto	Hitachi	
Bundle 10	William E. Howden	University of California San Diego	
Bundle 10	Angelo Susi	Fondazione Bruno Kessler	
Bundle 10	Huoping Chen	University of Arizona	
Bundle 10	Erik Sandewall	Linköping University	
Bundle 10	Mark G. Matthews	The MITRE Corporation	
Objetive function 	31.608
