Bundle	Paper	Venue	Author
Bundle 8	Carving and Replaying Differential Unit Test Cases from System Test Cases.	IEEE Trans. Software Eng.	Sebastian G. Elbaum, Matthew B. Dwyer, Matthew Jorde, Hui Nee Chin	
Bundle 8	Empirical evaluation of a nesting testability transformation for evolutionary testing.	ACM Trans. Softw. Eng. Methodol.	David Binkley, Mark Harman, Phil McMinn	
Bundle 8	Unit testing concurrent software.	ASE	William Pugh, Nathaniel Ayewah	
Bundle 8	Practical change impact analysis based on static program slicing for industrial software systems.	ICSE	Mithun Acharya, Brian Robinson	
Bundle 8	Efficient incremental algorithms for dynamic detection of likely invariants.	SIGSOFT FSE	Michael D. Ernst, Jeff H. Perkins	
Bundle 9	On the Optimal Total Processing Time Using Checkpoints.	IEEE Trans. Software Eng.	Zohel Khalil, Boyan Dimitrov, Nikolay Kolev, Peter Petrov	
Bundle 9	Equivalence analysis and its application in improving the efficiency of program slicing.	ACM Trans. Softw. Eng. Methodol.	Mary Jean Harrold, Donglin Liang	
Bundle 9	Synthesizing client load models for performance engineering via web crawling.	ASE	John C. Grundy, John G. Hosking, Yuhong Cai	
Bundle 9	Spontaneous software: a Web-based, object computing paradigm.	ICSE	Glêdson Elias da Silveira	
Bundle 9	Containment units: a hierarchically composable architecture for adaptive systems.	SIGSOFT FSE	Leon J. Osterweil, Barbara Staudt Lerner, Alexander E. Wise, Jamieson M. Cobleigh	
Bundle 10	An Application of a Method for Analysis of Cyclic Programs.	IEEE Trans. Software Eng.	Nissim Francez	
Bundle 10	Task Dependence and Termination in Ada.	ACM Trans. Softw. Eng. Methodol.	Laura K. Dillon	
Bundle 10	Static Typing for Ruby on Rails.	ASE	Jeffrey S. Foster, Avik Chaudhuri, Jong-hoon (David) An	
Bundle 10	Mining Security-Sensitive Operations in Legacy Code Using Concept Analysis.	ICSE	Somesh Jha, Dave King 0002, Trent Jaeger, Vinod Ganapathy	
Bundle 10	Scalable SMT-based verification of GPU kernel functions.	SIGSOFT FSE	Ganesh Gopalakrishnan, Guodong Li	
Objetive function	93.7189
